Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Adnane Abid,BEL,"FW,MF",22,Standard Liège,Belgium JPL,0.09,0.09,0.19,0.09,0.00,0.00,0.28,0.09,0.05,0.05,0.12,0.17,3.49,4.15,5.09,Shooting,Per 90,0.94,0.47,50.0%,0.10,0.20,19.70,0.00,0.05,+0.05,+0.05,Passing,22.52,31.76,70.9%,347.18,96.22,12.72,15.74,80.8%,7.82,10.46,74.8%,1.60,2.36,68.0%,0.17,1.60,1.70,1.51,0.19,Pass Types,30.82,0.66,0.09,0.09,0.19,1.88,0.47,0.00,0.00,0.00,0.00,0.28,1.04,Goal and Shot Creation,3.11,2.54,0.00,0.19,0.09,0.09,0.19,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Defense,1.41,1.23,0.57,0.66,0.19,0.57,0.85,66.7%,0.28,1.04,0.00,0.57,1.98,0.75,0.19,Possession,42.79,0.66,5.56,15.83,22.71,4.15,42.79,3.58,1.98,55.3%,1.41,39.5%,26.95,189.33,98.67,2.73,1.60,3.02,0.94,27.42,Miscellaneous Stats,0.00,1.13,1.60,0.09,0.00,0.00,0.00,4.99,0.19,0.47,28.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farouck Adekami,CIV,"FW,DF",19,Antwerp,Belgium JPL,0.23,0.23,0.45,0.23,0.00,0.11,0.56,0.00,0.26,0.15,0.20,0.35,4.84,2.14,9.90,Shooting,Per 90,3.15,1.58,50.0%,0.07,0.14,21.00,0.11,0.05,-0.03,+0.08,Passing,20.59,30.49,67.5%,380.93,125.66,7.88,10.13,77.8%,9.45,12.49,75.7%,2.70,5.51,49.0%,0.16,1.58,1.46,1.69,0.90,Pass Types,24.41,5.29,1.35,0.00,0.23,4.95,0.79,2.70,1.13,1.01,0.00,0.79,0.68,Goal and Shot Creation,5.06,2.03,0.79,1.01,0.68,0.45,0.11,0.34,0.11,0.11,0.11,0.00,0.00,0.00,Defense,1.35,1.01,0.45,0.45,0.45,0.45,1.35,33.3%,0.90,0.68,0.00,0.34,1.69,0.56,0.00,Possession,46.69,0.45,5.40,18.34,23.85,4.39,46.58,7.88,3.38,42.9%,4.05,51.4%,31.50,243.00,117.34,2.70,2.03,3.83,1.24,30.60,Miscellaneous Stats,0.00,1.69,3.38,0.23,0.00,0.00,0.00,4.05,0.90,1.13,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oluwaseun Adewumi,AUT,"FW,MF",20,Cercle Brugge,Belgium JPL,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.42,0.42,0.02,0.45,3.01,1.74,7.17,Shooting,Per 90,3.01,1.27,42.3%,0.08,0.18,13.10,0.00,0.14,-0.19,-0.19,Passing,11.34,18.16,62.4%,151.77,35.28,7.98,10.53,75.8%,3.01,4.74,63.4%,0.23,0.69,33.3%,0.03,0.46,0.81,0.23,0.00,Pass Types,17.35,0.58,0.00,0.00,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.23,0.69,Goal and Shot Creation,1.62,0.81,0.00,0.46,0.12,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.16,0.46,0.12,0.46,0.58,0.46,0.81,57.1%,0.35,0.81,0.12,0.23,1.39,0.35,0.00,Possession,32.85,0.12,3.12,10.30,20.01,5.44,32.85,4.16,1.85,44.4%,1.97,47.2%,17.93,135.12,66.86,1.39,1.62,3.35,1.74,20.82,Miscellaneous Stats,0.00,0.93,1.85,0.46,0.00,0.00,0.00,3.70,1.04,2.89,26.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Afriyie,GHA,FW,19,La Louvière,Belgium JPL,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.25,0.25,0.09,0.34,1.45,1.03,4.41,Shooting,Per 90,1.86,0.69,37.0%,0.07,0.20,16.20,0.00,0.14,-0.11,-0.11,Passing,8.28,12.55,65.9%,140.41,27.66,4.14,5.52,75.0%,3.31,4.83,68.6%,0.76,1.31,57.9%,0.06,0.62,0.34,0.62,0.14,Pass Types,11.66,0.83,0.00,0.07,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.07,0.41,Goal and Shot Creation,1.45,1.03,0.07,0.21,0.14,0.00,0.00,0.14,0.00,0.00,0.07,0.07,0.00,0.00,Defense,0.69,0.34,0.14,0.41,0.14,0.21,0.69,30.0%,0.48,0.41,0.00,0.21,0.90,0.41,0.00,Possession,22.21,0.34,1.72,8.83,12.41,3.38,22.21,2.21,1.10,50.0%,1.10,50.0%,12.41,79.52,26.41,0.90,0.62,3.38,1.45,13.72,Miscellaneous Stats,0.00,0.97,0.34,0.97,0.00,0.00,0.00,3.66,1.03,2.62,28.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Agyekum,GHA,"MF,DF",22,Cercle Brugge,Belgium JPL,0.08,0.15,0.23,0.08,0.00,0.00,0.15,0.00,0.14,0.14,0.17,0.30,1.80,2.96,4.65,Shooting,Per 90,1.61,0.53,32.6%,0.05,0.14,19.60,0.00,0.08,-0.06,-0.06,Passing,20.33,29.25,69.5%,323.06,100.84,9.79,12.60,77.7%,8.74,11.51,75.9%,1.13,2.70,41.7%,0.12,1.09,1.91,0.86,0.30,Pass Types,26.63,2.33,0.19,0.11,0.04,1.91,1.01,0.00,0.00,0.00,0.00,0.30,1.73,Goal and Shot Creation,2.74,1.80,0.08,0.23,0.41,0.15,0.08,0.23,0.11,0.00,0.08,0.04,0.00,0.00,Defense,2.40,1.46,0.56,1.31,0.53,0.83,1.99,41.5%,1.16,1.88,0.15,1.20,3.60,1.20,0.00,Possession,43.84,0.90,5.63,23.03,16.16,2.70,43.84,1.88,1.01,54.0%,0.71,38.0%,23.40,137.40,54.86,1.46,0.41,2.81,1.95,22.91,Miscellaneous Stats,0.00,1.20,1.95,0.15,0.00,0.00,0.00,6.11,1.09,1.73,38.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley Aké,FRA,"FW,MF",25,Zulte Waregem,Belgium JPL,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.23,0.23,0.10,0.32,1.96,2.69,6.48,Shooting,Per 90,1.96,0.73,37.5%,0.13,0.33,18.00,0.00,0.12,+0.01,+0.01,Passing,14.92,20.54,72.6%,226.47,83.52,8.68,11.62,74.7%,4.28,5.87,72.9%,1.22,1.83,66.7%,0.09,0.86,1.83,0.98,0.49,Pass Types,20.30,0.24,0.00,0.24,0.12,1.47,0.24,0.00,0.00,0.00,0.00,0.00,0.73,Goal and Shot Creation,1.83,1.10,0.00,0.12,0.37,0.24,0.00,0.24,0.00,0.00,0.00,0.12,0.12,0.00,Defense,0.98,0.86,0.61,0.24,0.12,0.24,0.98,25.0%,0.73,0.73,0.00,0.24,1.22,0.73,0.00,Possession,31.43,0.86,5.14,12.35,14.18,3.42,31.43,2.57,1.10,42.9%,1.35,52.4%,18.83,117.64,58.82,1.10,1.10,2.32,1.10,22.62,Miscellaneous Stats,0.00,0.86,1.35,0.37,0.12,0.00,0.00,1.83,0.49,1.71,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takahiro Akimoto,JPN,"DF,MF",27,OH Leuven,Belgium JPL,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.04,0.04,0.03,0.06,1.08,2.51,2.92,Shooting,Per 90,0.72,0.26,35.7%,0.00,0.00,16.90,0.00,0.05,-0.04,-0.04,Passing,27.54,36.46,75.5%,474.21,156.41,12.36,14.00,88.3%,12.41,15.64,79.3%,2.31,5.33,43.3%,0.04,0.41,2.26,0.77,0.36,Pass Types,28.77,7.49,0.46,0.00,0.15,1.33,7.03,0.00,0.00,0.00,0.00,0.21,0.72,Goal and Shot Creation,1.44,1.13,0.05,0.05,0.05,0.10,0.05,0.10,0.05,0.00,0.00,0.00,0.05,0.00,Defense,3.08,1.64,1.95,0.82,0.31,1.95,2.77,70.4%,0.82,0.87,0.15,0.97,4.05,5.08,0.00,Possession,49.79,4.26,20.15,19.64,10.56,1.54,49.79,1.03,0.51,50.0%,0.51,50.0%,21.69,114.72,53.38,0.92,0.41,1.44,0.51,22.77,Miscellaneous Stats,0.00,1.03,1.13,0.00,0.00,0.05,0.00,4.00,1.64,1.18,58.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josimar Alcocer,CRC,FW,21,Westerlo,Belgium JPL,0.13,0.17,0.29,0.13,0.00,0.00,0.13,0.00,0.15,0.15,0.12,0.26,2.88,2.80,7.18,Shooting,Per 90,1.75,0.58,33.3%,0.07,0.21,17.90,0.00,0.08,-0.02,-0.02,Passing,22.55,28.57,78.9%,344.80,83.86,12.32,14.45,85.3%,7.43,9.19,80.9%,1.63,2.71,60.0%,0.09,1.21,1.46,0.92,0.17,Pass Types,26.85,1.63,0.25,0.00,0.21,1.34,1.34,0.00,0.00,0.00,0.00,0.08,1.13,Goal and Shot Creation,3.26,2.34,0.00,0.54,0.21,0.13,0.04,0.25,0.13,0.00,0.04,0.04,0.00,0.04,Defense,2.76,1.80,1.42,1.09,0.25,1.04,2.17,48.1%,1.13,1.17,0.04,0.79,3.55,1.96,0.08,Possession,43.02,1.63,8.39,15.20,20.00,3.68,43.02,3.93,1.55,39.4%,2.30,58.5%,26.44,186.68,90.29,1.88,1.21,1.75,1.50,27.23,Miscellaneous Stats,0.00,1.04,1.46,0.13,0.00,0.00,0.00,3.72,0.67,1.00,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilson Angulo,ECU,"FW,MF",22,Anderlecht,Belgium JPL,0.18,0.25,0.43,0.18,0.00,0.00,0.14,0.04,0.12,0.12,0.23,0.35,3.74,3.56,10.80,Shooting,Per 90,1.53,0.50,32.6%,0.12,0.36,18.50,0.14,0.08,+0.06,+0.06,Passing,29.64,39.12,75.8%,447.47,132.97,17.17,19.85,86.5%,9.73,12.72,76.5%,1.75,3.67,47.6%,0.22,1.92,1.35,2.35,0.57,Pass Types,33.46,5.67,0.61,0.07,0.39,4.35,2.81,2.24,0.75,0.68,0.00,0.00,1.57,Goal and Shot Creation,4.70,2.89,0.57,0.68,0.11,0.39,0.07,0.57,0.25,0.04,0.21,0.00,0.07,0.00,Defense,3.46,2.21,1.78,1.18,0.50,1.82,2.99,60.7%,1.18,1.60,0.04,0.71,4.17,1.60,0.00,Possession,56.94,1.53,9.48,17.92,31.00,4.35,56.94,6.27,2.71,43.2%,3.14,50.0%,33.99,229.99,114.58,2.46,1.67,2.64,2.14,34.99,Miscellaneous Stats,0.04,1.75,1.85,0.43,0.07,0.00,0.00,5.45,0.96,1.46,39.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Antonio,ZIM,"DF,MF",23,Mechelen,Belgium JPL,0.10,0.41,0.52,0.10,0.00,0.00,0.10,0.00,0.13,0.13,0.25,0.38,4.54,2.58,11.04,Shooting,Per 90,1.86,0.62,33.3%,0.06,0.17,18.30,0.00,0.07,-0.03,-0.03,Passing,20.85,30.96,67.3%,318.82,116.94,10.63,13.93,76.3%,7.84,11.35,69.1%,1.03,2.58,40.0%,0.23,1.14,1.03,1.86,0.62,Pass Types,28.59,2.06,0.00,0.00,0.00,3.41,1.96,0.00,0.00,0.00,0.00,0.31,1.14,Goal and Shot Creation,2.68,1.96,0.00,0.52,0.10,0.10,0.00,0.72,0.52,0.00,0.10,0.10,0.00,0.00,Defense,1.24,0.41,0.41,0.21,0.62,0.31,0.93,33.3%,0.62,1.14,0.00,0.62,1.86,1.34,0.00,Possession,49.23,0.93,6.71,14.55,29.00,6.30,49.23,7.53,2.79,37.0%,4.75,63.0%,33.23,241.41,111.26,2.89,2.48,4.44,1.34,33.23,Miscellaneous Stats,0.00,1.45,1.03,0.31,0.00,0.00,0.00,3.10,0.41,1.45,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
