Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Abner,BRA,DF,20,Juventude,Brazil Serie A,0.00,0.07,0.07,0.00,0.00,0.00,0.20,0.00,0.02,0.02,0.03,0.05,0.41,1.50,0.14,Shooting,Per 90,0.20,0.07,33.3%,0.00,0.00,7.00,0.00,0.11,-0.02,-0.02,Passing,31.96,37.76,84.6%,654.51,221.38,8.88,9.49,93.5%,18.85,20.35,92.6%,4.03,7.24,55.7%,0.01,0.34,1.57,0.07,0.00,Pass Types,35.85,1.64,1.30,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.68,Goal and Shot Creation,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Defense,1.30,0.75,0.89,0.27,0.14,0.75,1.98,37.9%,1.23,1.57,0.89,1.23,2.53,6.69,0.14,Possession,49.37,8.26,31.00,17.75,1.02,0.48,49.37,0.41,0.27,66.7%,0.14,33.3%,28.20,140.94,70.74,0.00,0.00,0.34,0.07,30.46,Miscellaneous Stats,0.00,1.09,0.34,0.07,0.00,0.00,0.00,2.46,2.19,0.55,80.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Acevedo,URU,MF,25,Bahia,Brazil Serie A,0.00,0.05,0.05,0.00,0.00,0.00,0.31,0.00,0.06,0.06,0.09,0.16,1.94,6.39,1.15,Shooting,Per 90,1.05,0.47,45.0%,0.00,0.00,24.40,0.00,0.06,-0.06,-0.06,Passing,57.83,67.58,85.6%,942.70,249.99,28.55,30.70,93.0%,23.15,26.14,88.6%,4.09,6.60,61.9%,0.08,0.94,6.50,0.58,0.05,Pass Types,63.34,4.19,2.72,0.26,0.63,0.52,0.58,0.00,0.00,0.00,0.00,0.05,1.36,Goal and Shot Creation,2.62,2.15,0.05,0.05,0.26,0.00,0.10,0.37,0.37,0.00,0.00,0.00,0.00,0.00,Defense,3.09,2.15,1.15,1.41,0.52,1.52,3.67,41.4%,2.15,1.83,0.47,1.68,4.77,1.26,0.00,Possession,80.20,3.82,18.81,48.25,14.62,1.20,80.20,2.20,1.20,54.8%,0.84,38.1%,47.83,242.13,128.98,1.68,0.52,1.57,1.78,55.42,Miscellaneous Stats,0.00,2.36,1.52,0.00,0.00,0.00,0.00,6.23,1.15,0.89,56.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luciano Acosta,ARG,MF,30,Fluminense,Brazil Serie A,0.25,0.09,0.34,0.22,0.03,0.06,0.40,0.00,0.26,0.21,0.20,0.41,2.71,6.69,6.00,Shooting,Per 90,1.55,0.62,40.0%,0.14,0.35,19.50,0.25,0.14,-0.01,+0.01,Passing,34.86,48.11,72.5%,578.56,219.09,18.29,21.83,83.8%,11.66,15.02,77.6%,3.64,6.87,52.9%,0.26,2.24,5.35,2.64,0.50,Pass Types,41.36,6.47,2.15,0.37,0.40,4.23,0.65,2.24,0.68,0.84,0.00,0.28,1.12,Goal and Shot Creation,4.60,3.48,0.56,0.25,0.06,0.16,0.09,0.40,0.31,0.00,0.06,0.00,0.03,0.00,Defense,1.28,0.90,0.28,0.56,0.44,0.56,1.49,37.5%,0.93,1.12,0.00,0.28,1.55,0.72,0.00,Possession,60.24,0.53,5.44,27.21,28.39,3.76,60.18,4.26,1.99,46.7%,2.08,48.9%,32.50,163.14,85.68,2.27,0.96,2.77,1.65,42.85,Miscellaneous Stats,0.00,1.87,1.90,0.16,0.06,0.00,0.00,3.73,0.31,0.59,34.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Alberto,BRA,FW,23,Corinthians,Brazil Serie A,0.45,0.09,0.54,0.36,0.09,0.13,0.13,0.00,0.50,0.41,0.07,0.48,1.21,0.94,5.66,Shooting,Per 90,2.78,0.90,32.3%,0.13,0.40,15.10,0.00,0.15,-0.05,-0.05,Passing,10.64,14.63,72.7%,148.62,23.12,6.02,7.68,78.4%,3.55,4.58,77.5%,0.45,0.63,71.4%,0.02,0.58,0.76,0.22,0.04,Pass Types,13.74,0.90,0.04,0.00,0.13,0.18,0.13,0.00,0.00,0.00,0.00,0.00,0.22,Goal and Shot Creation,2.33,1.21,0.04,0.22,0.49,0.31,0.04,0.31,0.09,0.00,0.09,0.09,0.04,0.00,Defense,0.54,0.31,0.09,0.27,0.18,0.31,0.67,46.7%,0.36,0.22,0.00,0.18,0.72,0.76,0.09,Possession,23.43,0.76,1.66,10.01,12.07,4.22,23.30,1.17,0.49,42.3%,0.67,57.7%,14.41,76.08,35.24,0.67,0.76,2.29,0.72,18.13,Miscellaneous Stats,0.00,1.03,1.98,0.54,0.04,0.00,0.00,1.98,1.30,1.80,42.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Aldo,BRA,MF,26,Mirassol,Brazil Serie A,0.00,0.07,0.07,0.00,0.00,0.00,0.39,0.00,0.07,0.07,0.14,0.20,1.05,6.84,2.56,Shooting,Per 90,1.38,0.46,33.3%,0.00,0.00,22.70,0.00,0.05,-0.07,-0.07,Passing,47.60,56.34,84.5%,799.94,268.09,22.09,24.59,89.8%,19.00,21.30,89.2%,4.54,6.44,70.4%,0.11,1.25,4.67,0.72,0.20,Pass Types,54.63,1.31,0.99,0.07,0.59,0.59,0.13,0.07,0.00,0.07,0.00,0.39,1.18,Goal and Shot Creation,3.55,2.96,0.13,0.20,0.13,0.00,0.13,0.33,0.20,0.07,0.00,0.07,0.00,0.00,Defense,2.30,1.58,1.25,0.79,0.26,1.31,2.04,64.5%,0.72,1.25,0.07,1.78,4.08,1.84,0.07,Possession,70.01,2.63,14.92,41.22,14.59,1.64,70.01,1.91,0.85,44.8%,1.05,55.2%,38.72,173.89,79.94,0.59,0.26,2.10,1.51,47.60,Miscellaneous Stats,0.00,2.17,1.05,0.07,0.00,0.00,0.00,5.52,0.99,0.92,51.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alesson,BRA,FW,25,Mirassol,Brazil Serie A,0.37,0.31,0.68,0.37,0.00,0.00,0.06,0.00,0.38,0.38,0.14,0.51,3.34,2.53,9.40,Shooting,Per 90,1.92,0.74,38.7%,0.19,0.50,13.70,0.00,0.20,-0.01,-0.01,Passing,20.34,26.77,76.0%,283.72,79.12,12.49,14.28,87.4%,5.56,7.05,78.9%,1.05,2.41,43.6%,0.14,1.48,1.17,1.85,0.74,Pass Types,26.21,0.43,0.12,0.00,0.06,2.84,0.31,0.00,0.00,0.00,0.00,0.12,1.42,Goal and Shot Creation,2.91,2.47,0.00,0.19,0.25,0.00,0.00,0.31,0.25,0.00,0.06,0.00,0.00,0.00,Defense,1.61,0.80,0.37,0.80,0.43,0.74,2.29,32.4%,1.55,1.42,0.00,0.37,1.98,0.62,0.00,Possession,40.43,0.56,4.76,15.89,20.83,3.96,40.43,4.51,1.92,42.5%,2.47,54.8%,24.42,156.88,82.03,2.16,0.87,2.53,2.29,28.99,Miscellaneous Stats,0.00,1.85,1.36,0.80,0.00,0.00,0.00,4.70,0.93,1.24,42.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio Alexandre,BRA,MF,25,Bahia,Brazil Serie A,0.00,0.05,0.05,0.00,0.00,0.00,0.21,0.00,0.02,0.02,0.08,0.11,1.72,8.55,1.56,Shooting,Per 90,0.68,0.05,7.7%,0.00,0.00,25.80,0.00,0.03,-0.02,-0.02,Passing,67.84,75.87,89.4%,1206.81,319.80,29.10,30.97,93.9%,31.39,33.68,93.2%,6.05,8.03,75.3%,0.11,0.78,7.40,1.10,0.26,Pass Types,71.38,4.02,3.18,0.37,0.68,0.83,0.16,0.57,0.00,0.00,0.00,0.47,0.57,Goal and Shot Creation,2.50,2.35,0.10,0.00,0.00,0.05,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Defense,1.93,0.99,0.73,1.10,0.10,0.89,2.61,34.0%,1.72,0.99,0.42,0.83,2.76,1.56,0.05,Possession,85.20,4.48,20.28,49.28,16.11,0.47,85.20,1.46,0.68,46.4%,0.63,42.9%,56.16,282.98,151.69,1.72,0.26,1.04,0.83,66.80,Miscellaneous Stats,0.00,1.88,1.98,0.00,0.00,0.00,0.00,5.37,0.26,0.47,35.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Alexandre,BRA,DF,25,Sport Recife,Brazil Serie A,0.00,0.05,0.05,0.00,0.00,0.00,0.46,0.05,0.02,0.02,0.05,0.07,2.12,3.04,4.35,Shooting,Per 90,0.46,0.05,11.1%,0.00,0.00,19.20,0.00,0.05,-0.02,-0.02,Passing,35.36,43.71,80.9%,533.68,201.60,19.48,21.05,92.5%,13.36,16.49,81.0%,1.52,3.24,46.9%,0.05,0.46,1.97,0.76,0.51,Pass Types,35.06,8.55,0.56,0.05,0.10,2.38,7.99,0.00,0.00,0.00,0.00,0.10,0.91,Goal and Shot Creation,1.32,0.86,0.15,0.00,0.10,0.05,0.15,0.25,0.10,0.05,0.00,0.05,0.05,0.00,Defense,2.58,1.67,1.37,0.86,0.35,1.32,2.02,65.0%,0.71,1.21,0.30,1.67,4.25,2.98,0.00,Possession,54.49,2.98,16.90,23.63,15.03,1.11,54.49,1.26,0.66,52.0%,0.40,32.0%,26.76,140.34,71.89,1.42,0.10,1.06,0.51,28.89,Miscellaneous Stats,0.05,1.47,0.71,0.00,0.05,0.05,0.00,3.95,1.52,0.81,65.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexsander,BRA,MF,21,Atlético Mineiro,Brazil Serie A,0.11,0.00,0.11,0.11,0.00,0.00,0.33,0.00,0.08,0.08,0.03,0.11,1.96,6.20,2.07,Shooting,Per 90,1.41,0.43,30.8%,0.08,0.25,24.30,0.00,0.05,+0.03,+0.03,Passing,42.17,49.13,85.8%,682.61,199.78,22.07,24.46,90.2%,17.28,19.02,90.9%,2.28,2.93,77.8%,0.05,0.87,6.09,0.65,0.00,Pass Types,46.30,2.50,1.30,0.00,0.22,0.43,1.09,0.11,0.00,0.00,0.00,0.33,0.76,Goal and Shot Creation,2.50,1.96,0.11,0.22,0.00,0.22,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Defense,3.91,2.50,1.52,1.74,0.65,1.96,3.15,62.1%,1.20,0.76,0.00,1.41,5.33,0.33,0.00,Possession,63.48,0.76,8.91,39.46,16.20,2.07,63.48,3.91,1.63,41.7%,1.74,44.4%,38.80,204.78,110.54,1.41,0.54,3.26,2.28,45.33,Miscellaneous Stats,0.00,2.07,1.96,0.00,0.00,0.00,0.00,5.00,0.33,0.43,42.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,BRA,MF,31,São Paulo,Brazil Serie A,0.04,0.04,0.07,0.04,0.00,0.00,0.30,0.04,0.05,0.05,0.03,0.07,1.20,5.47,1.65,Shooting,Per 90,0.86,0.30,34.8%,0.04,0.13,21.90,0.07,0.05,-0.01,-0.01,Passing,54.19,62.10,87.3%,965.84,241.42,23.33,25.24,92.4%,24.12,26.55,90.8%,5.69,7.72,73.8%,0.04,0.86,5.21,0.56,0.19,Pass Types,59.44,2.51,1.76,0.00,0.30,1.27,0.37,0.30,0.15,0.11,0.00,0.15,0.37,Goal and Shot Creation,2.36,2.06,0.04,0.00,0.19,0.04,0.04,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Defense,1.50,0.97,0.49,0.94,0.07,1.05,2.28,45.9%,1.24,0.71,0.34,0.49,1.99,1.57,0.07,Possession,69.55,2.77,14.01,43.67,12.06,0.71,69.55,0.45,0.15,33.3%,0.26,58.3%,44.16,192.02,97.53,1.01,0.11,0.82,0.41,52.58,Miscellaneous Stats,0.00,0.94,1.35,0.07,0.00,0.00,0.00,4.64,0.64,1.27,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
