Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Ragnar Ache,GER,FW,27,Köln,Bundesliga,0.14,0.43,0.57,0.14,0.00,0.00,0.14,0.00,0.57,0.57,0.20,0.78,0.43,1.87,3.16,Shooting,Per 90,2.44,1.00,41.2%,0.06,0.14,13.20,0.00,0.24,-0.43,-0.43,Passing,11.63,18.66,62.3%,166.36,37.46,6.89,10.77,64.0%,4.02,5.17,77.8%,0.43,0.57,75.0%,0.07,1.87,1.58,0.43,0.00,Pass Types,17.37,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.72,Goal and Shot Creation,3.45,2.15,0.00,0.29,0.43,0.57,0.00,0.57,0.43,0.00,0.00,0.00,0.14,0.00,Defense,0.72,0.43,0.00,0.43,0.29,0.14,0.57,25.0%,0.43,0.86,0.14,0.00,0.72,2.87,0.00,Possession,32.58,3.30,5.17,13.49,14.07,5.45,32.58,1.29,0.29,22.2%,0.86,66.7%,12.78,50.81,20.10,1.00,0.00,3.30,1.29,23.25,Miscellaneous Stats,0.00,1.15,2.30,0.43,0.14,0.00,0.00,2.01,7.46,4.88,60.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,AUT,FW,24,Freiburg,Bundesliga,0.11,0.11,0.23,0.06,0.06,0.06,0.17,0.00,0.31,0.27,0.16,0.42,0.45,1.07,5.32,Shooting,Per 90,1.98,0.45,22.9%,0.03,0.13,11.20,0.00,0.14,-0.20,-0.21,Passing,11.14,17.48,63.8%,138.99,30.72,7.01,9.62,72.9%,2.77,4.24,65.3%,0.23,0.51,44.4%,0.07,1.02,0.57,0.57,0.06,Pass Types,16.86,0.57,0.00,0.11,0.00,0.34,0.06,0.00,0.00,0.00,0.00,0.06,0.74,Goal and Shot Creation,1.92,1.53,0.00,0.06,0.23,0.06,0.06,0.17,0.11,0.00,0.00,0.06,0.00,0.00,Defense,1.64,0.74,0.74,0.62,0.28,0.57,1.13,50.0%,0.57,0.91,0.17,0.68,2.32,1.24,0.06,Possession,32.98,1.87,4.02,15.50,13.75,5.20,32.92,2.43,0.96,39.5%,1.30,53.5%,17.03,63.92,19.40,0.51,0.28,4.19,1.53,21.61,Miscellaneous Stats,0.00,2.15,1.13,1.13,0.00,0.00,0.00,2.94,3.68,6.05,37.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Adeyemi,GER,"MF,FW",23,Dortmund,Bundesliga,0.44,0.24,0.68,0.44,0.00,0.00,0.30,0.00,0.34,0.34,0.26,0.60,4.05,2.16,9.69,Shooting,Per 90,2.73,1.01,37.0%,0.16,0.43,17.00,0.00,0.13,+0.09,+0.09,Passing,18.09,25.45,71.1%,273.41,61.47,10.26,12.90,79.6%,5.91,7.56,78.1%,1.18,1.92,61.4%,0.21,1.25,0.98,1.01,0.17,Pass Types,24.78,0.68,0.03,0.10,0.14,1.52,0.57,0.00,0.00,0.00,0.00,0.00,0.61,Goal and Shot Creation,3.54,2.36,0.00,0.57,0.30,0.24,0.07,0.71,0.44,0.00,0.17,0.07,0.03,0.00,Defense,1.25,0.78,0.37,0.47,0.41,0.47,1.11,42.4%,0.64,0.64,0.03,0.57,1.82,0.20,0.03,Possession,40.51,0.34,3.75,13.23,24.17,5.98,40.51,5.50,2.13,38.7%,3.04,55.2%,26.84,189.93,96.11,1.79,2.30,3.24,1.86,29.27,Miscellaneous Stats,0.00,2.06,1.59,0.20,0.10,0.00,0.00,3.38,0.61,0.91,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oladapo Afolayan,ENG,"MF,FW",27,St. Pauli,Bundesliga,0.12,0.12,0.24,0.12,0.00,0.00,0.36,0.00,0.14,0.14,0.28,0.42,3.38,2.05,6.64,Shooting,Per 90,1.93,0.72,37.5%,0.06,0.17,21.50,0.00,0.07,-0.02,-0.02,Passing,19.79,29.68,66.7%,339.37,65.99,9.41,11.46,82.1%,8.32,10.62,78.4%,1.69,3.62,46.7%,0.27,1.33,1.69,0.97,0.48,Pass Types,28.59,0.72,0.00,0.24,0.00,3.26,0.48,0.00,0.00,0.00,0.00,0.36,1.33,Goal and Shot Creation,3.14,1.93,0.00,0.36,0.60,0.24,0.00,0.24,0.12,0.00,0.12,0.00,0.00,0.00,Defense,0.72,0.24,0.12,0.12,0.48,0.24,0.84,28.6%,0.60,1.45,0.12,0.12,0.84,1.45,0.00,Possession,46.81,1.09,3.74,16.41,27.02,3.38,46.81,5.31,1.69,31.8%,3.02,56.8%,33.06,225.12,87.23,2.53,1.93,4.46,3.02,38.73,Miscellaneous Stats,0.00,0.72,2.65,0.24,0.00,0.00,0.00,3.02,1.69,2.29,42.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Agu,NGA,DF,26,Werder Bremen,Bundesliga,0.06,0.00,0.06,0.06,0.00,0.00,0.06,0.00,0.04,0.04,0.08,0.13,1.57,2.45,4.01,Shooting,Per 90,0.44,0.13,28.6%,0.14,0.50,16.00,0.00,0.10,+0.02,+0.02,Passing,34.31,43.40,79.0%,547.90,166.52,17.81,20.01,89.0%,12.48,14.80,84.3%,2.76,5.14,53.7%,0.12,0.88,2.20,0.69,0.38,Pass Types,34.31,9.03,0.56,0.00,0.25,2.20,8.47,0.00,0.00,0.00,0.00,0.06,1.19,Goal and Shot Creation,1.51,1.38,0.06,0.06,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Defense,2.13,1.19,1.00,0.88,0.25,0.88,1.51,58.3%,0.63,1.88,0.69,1.25,3.39,2.70,0.06,Possession,56.45,3.07,17.87,25.28,13.74,1.44,56.45,1.94,0.50,25.8%,0.94,48.4%,28.54,138.29,64.22,0.75,0.38,1.51,0.75,29.98,Miscellaneous Stats,0.00,0.69,2.32,0.25,0.00,0.00,0.00,4.08,1.25,1.32,48.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Akpoguma,NGA,DF,30,Hoffenheim,Bundesliga,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.01,0.01,0.01,0.02,0.51,3.83,0.70,Shooting,Per 90,0.32,0.06,20.0%,0.00,0.00,31.00,0.00,0.02,-0.01,-0.01,Passing,49.50,57.23,86.5%,865.76,293.00,19.80,21.08,93.9%,24.59,27.08,90.8%,3.32,6.77,49.1%,0.03,0.32,3.83,0.32,0.00,Pass Types,53.85,3.32,1.85,0.00,0.13,0.64,0.70,0.00,0.00,0.00,0.00,0.06,1.15,Goal and Shot Creation,1.34,1.28,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.62,1.34,1.72,0.64,0.26,1.53,2.04,75.0%,0.51,2.36,1.21,1.15,3.77,4.66,0.13,Possession,70.33,8.18,31.23,34.81,4.85,0.38,70.33,0.38,0.19,50.0%,0.13,33.3%,35.39,164.22,72.43,0.51,0.00,0.57,0.45,43.24,Miscellaneous Stats,0.00,0.64,0.96,0.06,0.00,0.13,0.00,4.47,1.92,1.53,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadiem Amiri,GER,MF,29,Mainz 05,Bundesliga,0.28,0.14,0.42,0.14,0.14,0.14,0.32,0.00,0.23,0.12,0.18,0.30,1.86,7.71,2.31,Shooting,Per 90,1.96,0.53,26.8%,0.07,0.27,25.20,0.32,0.06,+0.05,+0.02,Passing,47.98,62.14,77.2%,870.81,329.47,21.94,24.57,89.3%,18.86,22.15,85.1%,5.96,11.74,50.7%,0.26,2.17,5.99,2.38,0.28,Pass Types,52.47,9.18,4.03,0.28,0.42,5.36,0.49,3.79,1.61,1.54,0.00,0.49,0.74,Goal and Shot Creation,4.70,2.70,1.30,0.28,0.25,0.14,0.04,0.42,0.35,0.00,0.00,0.07,0.00,0.00,Defense,1.86,0.95,0.49,0.98,0.39,0.88,1.47,59.5%,0.60,0.91,0.18,0.53,2.38,0.81,0.04,Possession,73.42,1.58,11.29,39.53,23.87,1.96,73.28,2.38,1.09,45.6%,1.16,48.5%,40.86,199.52,98.38,1.75,0.35,1.72,1.09,45.63,Miscellaneous Stats,0.00,1.37,1.37,0.07,0.00,0.00,0.00,5.75,0.60,0.63,48.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Amoura,ALG,FW,25,Wolfsburg,Bundesliga,0.42,0.19,0.61,0.31,0.11,0.11,0.19,0.00,0.39,0.30,0.16,0.47,2.44,1.99,8.21,Shooting,Per 90,2.48,0.84,33.8%,0.12,0.36,16.30,0.00,0.13,+0.03,0.00,Passing,18.95,26.85,70.6%,291.12,47.94,10.16,13.87,73.3%,6.23,7.60,81.9%,1.49,2.37,62.9%,0.10,1.38,0.73,0.84,0.19,Pass Types,25.25,1.45,0.00,0.31,0.38,1.22,0.50,0.00,0.00,0.00,0.00,0.15,1.11,Goal and Shot Creation,2.98,2.29,0.04,0.15,0.23,0.23,0.04,0.38,0.31,0.00,0.04,0.00,0.04,0.00,Defense,1.57,1.07,0.88,0.46,0.23,0.76,1.64,46.5%,0.88,1.22,0.11,0.34,1.91,1.03,0.04,Possession,39.80,0.57,4.81,13.83,21.89,4.70,39.69,2.52,0.92,36.4%,1.53,60.6%,21.97,127.51,56.46,1.26,1.22,3.44,0.76,26.28,Miscellaneous Stats,0.00,1.11,0.65,0.88,0.04,0.00,0.00,2.75,0.88,2.14,29.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Andrich,GER,"DF,MF",31,Leverkusen,Bundesliga,0.04,0.04,0.09,0.04,0.00,0.00,0.30,0.09,0.03,0.03,0.03,0.06,1.08,3.46,1.17,Shooting,Per 90,0.56,0.17,30.8%,0.08,0.25,18.00,0.00,0.05,+0.01,+0.01,Passing,53.03,60.09,88.3%,892.99,239.18,24.11,26.41,91.3%,24.20,26.36,91.8%,3.55,5.45,65.1%,0.06,0.52,3.94,0.52,0.09,Pass Types,58.10,1.86,1.00,0.00,0.52,0.56,0.65,0.00,0.00,0.00,0.00,0.13,0.61,Goal and Shot Creation,1.60,1.39,0.00,0.00,0.09,0.09,0.04,0.17,0.13,0.00,0.00,0.04,0.00,0.00,Defense,1.47,1.04,0.91,0.43,0.13,0.56,0.78,72.2%,0.22,0.91,0.30,1.34,2.81,2.12,0.04,Possession,68.23,3.55,20.74,35.76,11.86,1.13,68.23,0.13,0.00,0.0%,0.13,100.0%,36.88,160.52,82.73,0.65,0.13,0.48,0.22,49.00,Miscellaneous Stats,0.04,1.34,0.69,0.00,0.00,0.00,0.00,3.51,1.34,0.78,63.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilyas Ansah,GER,"MF,FW",21,Union Berlin,Bundesliga,0.40,0.08,0.48,0.40,0.00,0.00,0.00,0.00,0.16,0.16,0.09,0.25,1.94,1.77,4.60,Shooting,Per 90,1.61,0.65,40.0%,0.25,0.63,17.10,0.00,0.10,+0.24,+0.24,Passing,11.45,15.24,75.1%,153.55,33.39,7.42,8.31,89.3%,3.06,4.11,74.5%,0.48,0.97,50.0%,0.06,0.73,0.81,0.56,0.16,Pass Types,14.92,0.32,0.00,0.24,0.08,0.97,0.16,0.00,0.00,0.00,0.00,0.00,0.40,Goal and Shot Creation,1.85,1.13,0.00,0.08,0.16,0.48,0.00,0.40,0.32,0.00,0.00,0.08,0.00,0.00,Defense,0.40,0.32,0.16,0.16,0.08,0.16,0.73,22.2%,0.56,0.48,0.08,0.32,0.73,0.81,0.00,Possession,30.32,0.73,3.95,12.34,15.08,3.31,30.32,3.55,1.61,45.5%,1.85,52.3%,18.87,123.95,46.69,1.29,0.81,5.65,2.74,21.29,Miscellaneous Stats,0.00,0.89,1.61,0.56,0.00,0.00,0.00,3.95,0.56,2.26,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
