Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Save% (Penalty Kicks)
Patrick van Aanholt,NED,DF,35,Sparta R'dam,Eredivisie,0.05,0.10,0.15,0.05,0.00,0.00,0.15,0.00,0.07,0.07,0.12,0.19,1.74,3.92,3.22,Shooting,Per 90,1.09,0.15,13.6%,0.05,0.33,23.10,0.05,0.07,-0.02,-0.02,Passing,36.17,44.90,80.6%,624.94,212.45,16.42,19.55,84.0%,16.32,18.70,87.3%,2.88,5.16,55.8%,0.12,1.09,2.63,1.09,0.40,Pass Types,36.62,8.24,1.09,0.10,0.15,1.64,7.14,0.00,0.00,0.00,0.00,0.05,0.79,Goal and Shot Creation,2.48,2.13,0.10,0.00,0.20,0.00,0.05,0.35,0.25,0.05,0.00,0.05,0.00,0.00,Defense,1.89,1.09,1.09,0.69,0.10,0.89,1.98,45.0%,1.09,1.34,0.55,0.99,2.88,2.63,0.00,Possession,55.27,4.47,18.65,23.96,13.40,1.19,55.27,1.04,0.60,57.1%,0.45,42.9%,26.25,145.52,75.41,1.74,0.15,1.34,0.30,29.77,Miscellaneous Stats,0.00,0.55,0.20,0.05,0.00,0.00,0.00,4.81,0.50,0.30,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aske Adelgaard,DEN,DF,22,Go Ahead Eag,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.02,0.02,0.14,0.16,2.00,3.57,4.79,Shooting,Per 90,0.61,0.26,42.9%,0.00,0.00,23.70,0.00,0.02,-0.02,-0.02,Passing,42.34,54.37,77.9%,693.43,246.30,22.65,25.18,90.0%,14.72,18.30,80.5%,3.83,7.93,48.4%,0.14,1.05,2.70,1.22,0.35,Pass Types,41.73,12.28,2.09,0.09,0.09,4.88,8.36,1.83,1.57,0.00,0.00,0.35,0.52,Goal and Shot Creation,2.44,1.39,0.96,0.00,0.09,0.00,0.00,0.26,0.09,0.17,0.00,0.00,0.00,0.00,Defense,1.48,0.87,0.96,0.44,0.09,0.78,1.22,64.3%,0.44,0.96,0.44,0.87,2.35,3.49,0.09,Possession,65.43,3.92,21.52,23.70,20.82,0.78,65.43,1.05,0.52,50.0%,0.44,41.7%,31.97,171.55,93.14,1.48,0.00,1.39,0.78,34.76,Miscellaneous Stats,0.00,1.31,1.13,0.00,0.00,0.00,0.00,4.36,0.78,0.96,45.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Adewoye,BEL,DF,25,Fortuna Sittard,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.03,0.03,0.01,0.04,0.44,2.70,0.10,Shooting,Per 90,0.29,0.05,16.7%,0.00,0.00,12.30,0.00,0.10,-0.03,-0.03,Passing,38.96,44.66,87.3%,766.28,231.82,11.78,12.51,94.1%,22.38,23.51,95.2%,4.27,6.97,61.3%,0.01,0.20,2.90,0.05,0.00,Pass Types,42.35,2.06,1.52,0.00,0.25,0.05,0.44,0.00,0.00,0.00,0.00,0.25,0.64,Goal and Shot Creation,0.93,0.88,0.00,0.00,0.05,0.00,0.00,0.15,0.10,0.00,0.00,0.05,0.00,0.00,Defense,1.86,1.23,1.42,0.25,0.20,1.08,1.47,73.3%,0.39,1.62,0.98,1.08,2.94,5.40,0.05,Possession,56.92,8.10,26.35,27.87,2.85,0.54,56.92,0.10,0.05,50.0%,0.05,50.0%,29.25,135.05,63.06,0.39,0.00,0.59,0.34,32.88,Miscellaneous Stats,0.00,1.82,0.93,0.00,0.00,0.10,0.05,3.93,2.26,1.23,64.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,BIH,DF,26,Feyenoord,Eredivisie,0.09,0.03,0.12,0.09,0.00,0.00,0.32,0.03,0.08,0.08,0.03,0.11,1.55,3.36,0.38,Shooting,Per 90,0.50,0.12,23.5%,0.18,0.75,10.60,0.00,0.16,+0.01,+0.01,Passing,46.27,51.70,89.5%,803.92,236.49,18.02,19.28,93.5%,25.06,26.73,93.8%,2.31,4.26,54.1%,0.05,0.44,3.39,0.41,0.06,Pass Types,49.83,1.87,1.58,0.15,0.15,0.09,0.18,0.00,0.00,0.00,0.00,0.00,0.41,Goal and Shot Creation,0.99,0.88,0.00,0.03,0.06,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Defense,1.34,0.93,0.82,0.41,0.12,0.58,0.76,76.9%,0.18,0.96,0.56,1.20,2.54,5.64,0.06,Possession,63.01,6.75,26.93,32.13,4.44,0.93,63.01,0.23,0.09,37.5%,0.15,62.5%,37.68,243.74,150.96,1.26,0.00,0.50,0.18,40.43,Miscellaneous Stats,0.03,1.05,0.73,0.09,0.00,0.03,0.00,4.21,2.07,1.67,55.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makan Aiko,FRA,FW,25,Fortuna Sittard,Eredivisie,0.23,0.23,0.45,0.23,0.00,0.00,0.23,0.00,0.24,0.24,0.15,0.39,3.41,1.70,6.70,Shooting,Per 90,1.82,0.34,18.8%,0.13,0.67,15.50,0.00,0.13,-0.01,-0.01,Passing,13.98,21.59,64.7%,184.66,42.27,8.98,11.02,81.4%,4.09,6.48,63.2%,0.23,1.36,16.7%,0.18,0.80,0.91,0.80,0.45,Pass Types,20.91,0.68,0.00,0.00,0.00,3.86,0.23,0.23,0.23,0.00,0.00,0.00,1.02,Goal and Shot Creation,2.05,1.70,0.00,0.11,0.00,0.23,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Defense,1.02,0.68,0.11,0.57,0.34,0.00,0.23,0.0%,0.23,1.02,0.00,0.91,1.93,0.57,0.00,Possession,33.41,0.23,2.39,11.70,19.77,3.64,33.41,2.16,0.68,31.6%,1.14,52.6%,21.59,165.45,94.89,1.82,1.02,2.73,1.48,22.39,Miscellaneous Stats,0.00,1.48,1.70,0.45,0.00,0.00,0.00,3.30,0.91,2.16,29.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawouna Amevor,TOG,DF,34,Volendam,Eredivisie,0.07,0.07,0.14,0.07,0.00,0.00,0.00,0.07,0.04,0.04,0.07,0.11,0.55,2.32,0.00,Shooting,Per 90,0.34,0.14,40.0%,0.20,0.50,10.10,0.00,0.12,+0.03,+0.03,Passing,40.46,45.65,88.6%,805.56,275.54,11.34,11.89,95.4%,24.05,25.42,94.6%,4.24,6.97,60.8%,0.03,0.27,2.26,0.21,0.00,Pass Types,44.21,1.44,1.09,0.00,0.14,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.48,Goal and Shot Creation,0.89,0.75,0.00,0.00,0.14,0.00,0.00,0.14,0.07,0.00,0.00,0.07,0.00,0.00,Defense,0.96,0.34,0.82,0.14,0.00,0.62,0.89,69.2%,0.27,1.50,1.03,0.75,1.71,5.40,0.07,Possession,56.10,8.61,30.34,24.19,1.71,0.68,56.10,0.00,0.00,,0.00,,32.60,168.59,94.44,0.34,0.00,0.41,0.07,37.86,Miscellaneous Stats,0.00,1.03,0.21,0.00,0.00,0.00,0.00,2.80,2.19,1.37,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Baas,NED,MF,23,Sparta R'dam,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.14,0.14,0.14,0.28,0.64,4.62,0.43,Shooting,Per 90,1.50,0.43,28.6%,0.00,0.00,24.20,0.43,0.09,-0.14,-0.14,Passing,33.19,44.57,74.5%,718.60,238.21,9.45,11.81,80.0%,16.65,19.87,83.8%,6.55,11.17,58.7%,0.21,1.61,4.51,1.18,0.32,Pass Types,36.41,8.05,3.22,0.54,0.54,4.73,0.00,4.83,2.26,1.40,0.00,0.11,1.07,Goal and Shot Creation,3.87,1.72,1.61,0.00,0.32,0.21,0.00,0.21,0.21,0.00,0.00,0.00,0.00,0.00,Defense,1.83,1.18,0.75,1.07,0.00,0.75,1.93,38.9%,1.18,1.83,0.75,1.72,3.54,3.33,0.00,Possession,57.57,4.40,13.96,29.86,13.96,0.54,57.57,0.43,0.00,0.0%,0.32,75.0%,22.45,117.49,62.83,0.75,0.11,1.18,0.43,27.39,Miscellaneous Stats,0.00,1.07,1.18,0.00,0.00,0.00,0.00,3.65,1.07,0.86,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youri Baas,NED,DF,22,Ajax,Eredivisie,0.09,0.04,0.13,0.09,0.00,0.00,0.13,0.04,0.04,0.04,0.03,0.08,1.46,5.23,0.60,Shooting,Per 90,0.43,0.21,50.0%,0.20,0.40,10.50,0.00,0.10,+0.04,+0.04,Passing,73.54,80.05,91.9%,1331.35,442.11,28.26,29.41,96.1%,39.49,41.21,95.8%,4.85,7.59,63.8%,0.05,0.34,6.05,0.34,0.04,Pass Types,75.89,3.90,1.84,0.04,0.47,0.09,0.56,0.00,0.00,0.00,0.00,0.26,0.47,Goal and Shot Creation,1.07,0.86,0.13,0.00,0.00,0.04,0.04,0.21,0.17,0.04,0.00,0.00,0.00,0.00,Defense,1.67,0.99,1.11,0.43,0.13,0.69,1.16,59.3%,0.47,1.20,0.73,1.20,2.87,4.80,0.00,Possession,91.29,11.32,41.76,44.68,5.53,0.64,91.29,0.77,0.34,44.4%,0.21,27.8%,60.20,313.44,182.83,1.42,0.00,0.77,0.21,68.35,Miscellaneous Stats,0.04,0.86,1.67,0.04,0.00,0.04,0.04,4.93,1.29,1.24,50.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saïd Bakari,COM,DF,31,Sparta R'dam,Eredivisie,0.05,0.00,0.05,0.05,0.00,0.00,0.10,0.00,0.03,0.03,0.04,0.06,1.98,4.77,1.93,Shooting,Per 90,0.35,0.10,28.6%,0.14,0.50,20.50,0.00,0.08,+0.03,+0.03,Passing,41.22,48.12,85.7%,768.88,241.15,16.17,18.05,89.6%,20.28,22.06,92.0%,4.41,6.44,68.5%,0.05,0.61,4.26,0.61,0.30,Pass Types,41.12,6.85,0.46,0.10,0.15,1.52,6.39,0.00,0.00,0.00,0.00,0.15,1.06,Goal and Shot Creation,1.77,1.57,0.00,0.10,0.00,0.00,0.10,0.10,0.05,0.00,0.05,0.00,0.00,0.00,Defense,2.28,1.37,1.42,0.66,0.20,1.47,3.04,48.3%,1.57,1.77,0.71,1.42,3.70,4.06,0.00,Possession,60.64,3.80,21.85,29.97,9.53,0.51,60.64,1.37,0.61,44.4%,0.66,48.1%,28.90,160.58,86.45,1.32,0.25,1.32,0.05,31.94,Miscellaneous Stats,0.00,0.71,0.25,0.05,0.00,0.00,0.05,4.87,1.06,1.01,51.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Bakker,NED,DF,30,Telstar,Eredivisie,0.08,0.08,0.15,0.08,0.00,0.08,0.00,0.00,0.14,0.08,0.03,0.11,1.58,6.10,0.68,Shooting,Per 90,0.98,0.23,23.1%,0.08,0.33,12.10,0.00,0.09,-0.07,-0.01,Passing,47.63,56.36,84.5%,889.77,336.67,18.14,20.69,87.6%,24.53,27.39,89.6%,4.29,6.55,65.5%,0.05,0.68,6.40,0.68,0.00,Pass Types,51.62,4.59,2.18,0.08,0.30,0.30,0.23,0.00,0.00,0.00,0.00,0.15,1.28,Goal and Shot Creation,1.81,1.35,0.08,0.08,0.23,0.08,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Defense,1.28,0.75,0.60,0.60,0.08,0.53,1.28,41.2%,0.75,1.88,0.60,1.28,2.56,5.42,0.15,Possession,69.31,9.56,30.18,31.83,7.60,1.35,69.23,0.60,0.30,50.0%,0.23,37.5%,36.80,194.75,105.80,1.35,0.15,0.38,0.15,42.67,Miscellaneous Stats,0.00,0.98,0.83,0.15,0.00,0.08,0.00,3.69,3.09,2.56,54.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
