Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Jones El-Abdellaoui,MAR,"FW,MF",19,Celta Vigo,La Liga,0.58,0.00,0.58,0.58,0.00,0.00,0.00,0.00,0.54,0.54,0.10,0.64,5.83,0.19,13.61,Shooting,Per 90,2.72,0.97,35.7%,0.21,0.60,18.70,0.00,0.20,+0.04,+0.04,Passing,23.13,31.10,74.4%,379.05,55.01,11.47,13.61,84.3%,9.72,11.27,86.2%,1.56,3.50,44.4%,0.10,0.97,0.39,0.97,0.78,Pass Types,26.83,4.28,0.00,0.00,0.19,3.89,3.89,0.19,0.00,0.00,0.00,0.00,0.19,Goal and Shot Creation,1.94,1.75,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.39,0.19,0.19,0.19,0.00,0.19,0.97,20.0%,0.78,0.19,0.00,0.19,0.58,1.36,0.00,Possession,42.96,1.56,6.41,13.22,24.10,4.08,42.96,3.30,1.36,41.2%,1.56,47.1%,26.63,226.65,124.99,2.14,2.14,1.94,1.75,29.16,Miscellaneous Stats,0.00,0.19,0.39,0.39,0.00,0.00,0.00,2.92,0.39,0.78,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdel Abqar,MAR,DF,26,Getafe,La Liga,0.00,0.05,0.05,0.00,0.00,0.00,0.51,0.00,0.04,0.04,0.02,0.06,0.41,1.85,0.10,Shooting,Per 90,0.67,0.05,7.7%,0.00,0.00,10.90,0.00,0.06,-0.04,-0.04,Passing,26.41,33.79,78.1%,600.31,202.41,5.95,6.77,87.9%,15.90,17.18,92.5%,4.36,9.08,48.0%,0.03,0.31,2.26,0.21,0.05,Pass Types,32.26,1.54,1.18,0.00,0.77,0.10,0.36,0.00,0.00,0.00,0.00,0.00,0.62,Goal and Shot Creation,0.62,0.56,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Defense,1.85,1.13,1.33,0.51,0.00,1.18,1.59,74.2%,0.41,1.23,0.62,1.28,3.13,5.33,0.05,Possession,47.08,4.51,24.46,20.92,2.00,1.18,47.08,0.36,0.21,57.1%,0.15,42.9%,22.46,104.46,56.82,0.10,0.00,0.82,0.15,24.00,Miscellaneous Stats,0.00,1.28,1.90,0.10,0.00,0.05,0.00,3.59,1.74,0.97,64.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akor Adams,NGA,FW,25,Sevilla,La Liga,0.25,0.17,0.42,0.25,0.00,0.00,0.08,0.00,0.37,0.37,0.07,0.43,1.51,1.17,4.27,Shooting,Per 90,2.59,1.17,45.2%,0.10,0.21,15.30,0.00,0.14,-0.12,-0.12,Passing,9.87,16.48,59.9%,158.50,22.33,4.77,8.11,58.8%,3.60,5.27,68.3%,0.67,1.34,50.0%,0.03,0.33,0.75,0.25,0.00,Pass Types,15.06,1.34,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.08,0.67,Goal and Shot Creation,1.00,0.67,0.00,0.08,0.17,0.08,0.00,0.17,0.08,0.00,0.00,0.00,0.08,0.00,Defense,0.33,0.17,0.17,0.08,0.08,0.08,0.17,50.0%,0.08,0.75,0.08,0.00,0.33,1.17,0.08,Possession,25.18,1.09,2.68,11.04,11.88,4.43,25.18,1.34,0.84,62.5%,0.50,37.5%,11.54,63.90,28.27,0.42,0.84,2.17,1.00,17.90,Miscellaneous Stats,0.00,1.25,0.33,2.09,0.08,0.00,0.00,1.92,2.76,3.35,45.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Affengruber,AUT,DF,24,Elche,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.06,0.02,0.02,0.02,0.04,0.98,3.55,0.31,Shooting,Per 90,0.31,0.06,20.0%,0.00,0.00,11.60,0.00,0.09,-0.02,-0.02,Passing,54.43,62.39,87.2%,942.18,334.59,23.20,25.10,92.4%,27.12,29.14,93.1%,3.24,6.86,47.3%,0.03,0.24,4.04,0.24,0.00,Pass Types,59.39,2.94,1.90,0.00,0.49,0.18,0.43,0.00,0.00,0.00,0.00,0.06,0.18,Goal and Shot Creation,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,Defense,2.33,1.53,1.53,0.80,0.00,1.47,1.96,75.0%,0.49,0.86,0.67,1.71,4.04,5.88,0.18,Possession,73.78,8.02,32.57,39.00,2.69,0.73,73.78,0.37,0.24,66.7%,0.06,16.7%,38.94,221.14,140.63,0.61,0.12,0.37,0.12,47.94,Miscellaneous Stats,0.00,1.04,1.10,0.12,0.00,0.06,0.00,4.96,1.90,0.98,66.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julen Agirrezabala,ESP,GK,25,Valencia,La Liga,,,,,,0.23,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,4.31,2.58,65.2%,0.23,0.31,0.46,0.23,24.0%,0.23,0.04,0.00,16.7%,Advanced Goalkeeping,0.00,0.15,0.04,1.54,0.32,-0.12,3.69,10.74,34.4%,23.28,3.66,33.6%,32.7,4.96,57.4%,46.9,10.47,0.96,9.2%,1.89,17.4
Lucien Agoume,FRA,MF,23,Sevilla,La Liga,0.08,0.20,0.27,0.08,0.00,0.00,0.39,0.00,0.05,0.05,0.14,0.19,1.37,6.57,1.25,Shooting,Per 90,0.55,0.12,21.4%,0.14,0.67,15.10,0.00,0.09,+0.03,+0.03,Passing,40.62,50.28,80.8%,662.13,238.62,20.93,22.97,91.1%,15.10,17.73,85.2%,3.29,6.38,51.5%,0.08,1.25,5.99,1.21,0.20,Pass Types,48.09,1.68,1.45,0.39,0.43,0.90,0.20,0.04,0.00,0.00,0.00,0.51,0.82,Goal and Shot Creation,2.39,2.31,0.00,0.00,0.00,0.00,0.08,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Defense,2.82,1.57,0.86,1.57,0.39,1.10,1.53,71.8%,0.43,1.10,0.27,1.45,4.27,1.72,0.04,Possession,59.83,2.47,14.48,33.89,11.97,1.10,59.83,0.94,0.59,62.5%,0.31,33.3%,30.05,138.56,71.65,1.02,0.08,0.90,0.43,37.76,Miscellaneous Stats,0.00,1.96,0.35,0.12,0.00,0.00,0.00,4.81,1.88,1.68,52.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Aguado,ESP,MF,25,Elche,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.29,3.57,0.87,Shooting,Per 90,0.07,0.00,0.0%,0.00,,17.70,0.00,0.04,0.00,0.00,Passing,46.64,51.44,90.7%,662.16,196.15,27.50,29.25,94.0%,16.08,17.10,94.0%,1.24,1.96,63.0%,0.02,0.07,5.24,0.22,0.07,Pass Types,49.91,1.46,1.02,0.00,0.07,0.15,0.22,0.07,0.00,0.00,0.00,0.07,0.51,Goal and Shot Creation,0.80,0.65,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.60,0.87,0.80,0.65,0.15,0.95,1.24,76.5%,0.29,1.46,0.95,2.04,3.64,1.82,0.00,Possession,60.68,4.15,15.50,39.07,6.33,0.15,60.68,0.00,0.00,,0.00,,27.57,98.22,42.49,0.36,0.00,0.58,0.22,41.47,Miscellaneous Stats,0.00,0.80,1.09,0.00,0.00,0.00,0.00,3.35,0.36,0.51,41.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Ahijado,ESP,DF,30,Oviedo,La Liga,0.00,0.13,0.13,0.00,0.00,0.00,0.26,0.00,0.11,0.11,0.07,0.18,1.18,3.28,2.62,Shooting,Per 90,0.92,0.26,28.6%,0.00,0.00,18.30,0.00,0.12,-0.11,-0.11,Passing,37.78,48.54,77.8%,632.23,216.34,18.63,20.99,88.8%,16.01,19.29,83.0%,2.76,5.90,46.7%,0.11,0.66,2.49,1.05,0.52,Pass Types,38.57,9.58,0.13,0.26,0.26,1.71,9.45,0.00,0.00,0.00,0.00,0.39,0.52,Goal and Shot Creation,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.00,Defense,3.54,2.49,2.89,0.66,0.00,1.71,2.36,72.2%,0.66,0.79,0.26,1.18,4.72,2.62,0.00,Possession,60.74,3.15,17.97,28.86,14.56,0.92,60.74,2.10,1.05,50.0%,0.92,43.8%,26.24,141.69,67.57,1.18,0.00,1.57,0.13,30.04,Miscellaneous Stats,0.00,0.79,0.26,0.26,0.00,0.00,0.00,3.67,0.79,0.26,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Aidoo,GHA,DF,30,Celta Vigo,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.12,1.96,0.00,Shooting,Per 90,0.35,0.00,0.0%,0.00,,8.90,0.00,0.09,-0.03,-0.03,Passing,47.71,53.24,89.6%,980.67,345.94,11.52,12.45,92.6%,30.65,32.38,94.7%,5.30,7.95,66.7%,0.01,0.00,1.38,0.23,0.00,Pass Types,51.28,1.96,1.15,0.00,0.23,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.58,Goal and Shot Creation,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.81,0.58,0.46,0.35,0.00,0.35,0.46,75.0%,0.12,1.15,0.58,1.04,1.84,5.07,0.23,Possession,63.03,10.26,39.87,23.28,0.46,0.35,63.03,0.23,0.23,100.0%,0.00,0.0%,35.95,157.99,83.43,0.00,0.00,0.12,0.12,44.60,Miscellaneous Stats,0.00,0.69,0.23,0.00,0.00,0.23,0.00,3.80,1.61,1.38,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Alaba,AUT,DF,33,Real Madrid,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.01,0.01,0.56,2.39,1.41,Shooting,Per 90,0.14,0.14,100.0%,0.00,0.00,31.90,0.14,0.03,0.00,0.00,Passing,56.62,62.39,90.7%,940.42,373.80,26.90,27.32,98.5%,25.49,26.48,96.3%,3.10,6.76,45.8%,0.03,0.28,3.38,0.28,0.00,Pass Types,57.32,4.93,1.41,0.14,0.28,0.99,2.11,0.28,0.28,0.00,0.00,0.14,0.28,Goal and Shot Creation,0.85,0.56,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.56,0.42,0.42,0.14,0.00,0.14,0.28,50.0%,0.14,1.41,1.13,0.99,1.55,2.39,0.00,Possession,68.45,8.03,33.66,29.30,5.63,0.70,68.45,0.00,0.00,,0.00,,44.51,209.01,104.79,0.14,0.00,0.14,0.00,52.25,Miscellaneous Stats,0.00,0.70,0.14,0.14,0.00,0.00,0.00,2.54,0.99,0.70,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
