Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Himad Abdelli,ALG,MF,26,Angers,Ligue1,0.15,0.00,0.15,0.04,0.11,0.11,0.15,0.00,0.16,0.07,0.05,0.13,3.27,6.77,2.25,Shooting,Per 90,0.99,0.27,26.9%,0.04,0.14,22.30,0.00,0.07,-0.01,-0.03,Passing,45.06,53.05,84.9%,748.69,210.22,21.84,24.36,89.7%,18.57,20.55,90.4%,3.23,4.95,65.4%,0.09,0.91,5.59,1.10,0.11,Pass Types,49.93,2.82,1.22,0.49,0.30,0.84,0.38,0.27,0.19,0.04,0.00,0.30,1.03,Goal and Shot Creation,2.93,2.44,0.11,0.19,0.08,0.04,0.08,0.27,0.19,0.00,0.04,0.04,0.00,0.00,Defense,1.67,1.18,0.53,0.72,0.42,0.84,1.67,50.0%,0.84,1.18,0.15,1.07,2.74,1.03,0.08,Possession,63.67,1.79,13.05,37.60,14.58,0.99,63.55,3.04,1.48,48.8%,1.52,50.0%,37.75,234.61,143.81,2.85,0.19,1.75,1.41,45.13,Miscellaneous Stats,0.00,1.56,1.03,0.08,0.00,0.00,0.00,6.51,0.49,0.42,54.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Abdi,TUN,"DF,MF",32,Nice,Ligue1,0.21,0.00,0.21,0.21,0.00,0.00,0.21,0.05,0.23,0.23,0.09,0.32,2.04,2.25,5.15,Shooting,Per 90,1.13,0.43,38.1%,0.19,0.50,13.70,0.11,0.23,-0.01,-0.01,Passing,30.39,40.26,75.5%,478.30,163.97,16.46,18.55,88.7%,11.26,14.69,76.6%,1.98,4.13,48.1%,0.08,1.23,1.66,1.07,0.48,Pass Types,32.43,7.72,0.80,0.00,0.05,2.89,6.91,0.00,0.00,0.00,0.00,0.11,0.54,Goal and Shot Creation,2.57,2.04,0.05,0.16,0.21,0.05,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,Defense,2.52,1.23,1.07,0.96,0.48,1.13,2.04,55.3%,0.91,0.86,0.32,1.45,3.97,2.47,0.05,Possession,53.34,3.11,13.45,22.57,17.90,2.20,53.34,2.30,0.86,37.2%,1.23,53.5%,24.60,125.70,65.50,1.07,0.32,1.93,0.48,28.73,Miscellaneous Stats,0.05,1.50,1.34,0.27,0.00,0.00,0.00,4.13,1.55,1.07,59.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salis Abdul Samed,GHA,MF,25,Nice,Ligue1,0.00,0.12,0.12,0.00,0.00,0.00,0.35,0.00,0.02,0.02,0.02,0.05,0.59,1.65,0.82,Shooting,Per 90,0.12,0.00,0.0%,0.00,,9.90,0.00,0.24,-0.02,-0.02,Passing,39.18,42.35,92.5%,582.94,127.06,22.94,24.59,93.3%,13.76,14.59,94.4%,1.41,1.65,85.7%,0.05,0.35,2.71,0.47,0.00,Pass Types,41.29,1.06,1.06,0.24,0.12,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.82,Goal and Shot Creation,1.06,1.06,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Defense,1.18,0.35,0.71,0.24,0.24,0.71,1.41,50.0%,0.71,0.82,0.00,1.06,2.24,1.18,0.00,Possession,49.65,2.00,11.41,33.06,5.29,0.59,49.65,0.59,0.24,40.0%,0.35,60.0%,28.82,140.12,54.59,0.47,0.24,1.29,0.94,35.41,Miscellaneous Stats,0.00,1.65,1.06,0.00,0.00,0.00,0.00,2.71,0.47,0.59,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Abergel,FRA,MF,32,Lorient,Ligue1,0.07,0.00,0.07,0.07,0.00,0.00,0.33,0.00,0.05,0.05,0.07,0.10,1.18,5.09,0.85,Shooting,Per 90,0.98,0.33,33.3%,0.07,0.20,24.60,0.00,0.04,+0.02,+0.02,Passing,52.90,60.67,87.2%,1001.63,307.49,19.72,21.55,91.5%,25.47,27.82,91.5%,6.34,8.43,75.2%,0.05,0.72,5.88,0.59,0.13,Pass Types,56.43,3.98,2.87,0.13,0.59,0.20,0.00,0.00,0.00,0.00,0.00,0.26,0.39,Goal and Shot Creation,2.16,1.83,0.07,0.07,0.13,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Defense,1.50,0.91,0.72,0.39,0.39,0.72,1.63,44.0%,0.91,0.46,0.07,0.85,2.35,1.83,0.07,Possession,67.79,4.31,20.57,38.47,9.21,0.52,67.79,0.98,0.46,46.7%,0.52,53.3%,42.52,183.92,103.85,0.91,0.13,0.59,0.59,50.09,Miscellaneous Stats,0.00,1.11,0.78,0.00,0.00,0.07,0.00,4.44,0.59,0.46,56.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthis Abline,FRA,"FW,MF",22,Nantes,Ligue1,0.19,0.13,0.32,0.19,0.00,0.03,0.16,0.00,0.25,0.23,0.12,0.35,3.16,1.68,5.39,Shooting,Per 90,2.52,0.77,30.8%,0.08,0.25,18.20,0.13,0.09,-0.06,-0.04,Passing,10.16,16.35,62.1%,149.16,41.55,5.29,7.81,67.8%,3.65,5.00,72.9%,0.55,1.13,48.6%,0.10,1.00,0.90,0.74,0.16,Pass Types,15.87,0.45,0.10,0.06,0.06,1.03,0.00,0.03,0.00,0.00,0.00,0.03,0.45,Goal and Shot Creation,2.65,1.55,0.00,0.45,0.39,0.23,0.03,0.35,0.13,0.00,0.10,0.10,0.03,0.00,Defense,0.55,0.29,0.16,0.19,0.19,0.23,0.39,58.3%,0.16,0.48,0.03,0.13,0.68,0.68,0.00,Possession,27.97,0.65,2.74,11.55,14.55,4.55,27.94,3.68,1.65,44.7%,1.94,52.6%,18.52,141.52,80.23,1.81,1.58,2.68,1.87,20.77,Miscellaneous Stats,0.00,1.26,2.00,0.13,0.06,0.00,0.00,2.97,1.77,2.29,43.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abner,BRA,DF,25,Lyon,Ligue1,0.16,0.11,0.26,0.16,0.00,0.00,0.21,0.05,0.13,0.13,0.12,0.25,2.17,5.40,3.97,Shooting,Per 90,0.74,0.21,28.6%,0.21,0.75,13.60,0.00,0.18,+0.03,+0.03,Passing,44.66,53.34,83.7%,693.57,258.13,25.74,28.13,91.5%,14.78,17.90,82.5%,3.13,4.77,65.6%,0.13,0.90,3.97,0.90,0.26,Pass Types,46.46,6.78,0.85,0.05,0.53,2.49,5.40,0.53,0.32,0.05,0.00,0.11,0.58,Goal and Shot Creation,2.49,1.85,0.16,0.21,0.21,0.00,0.05,0.32,0.26,0.00,0.05,0.00,0.00,0.00,Defense,1.91,1.22,1.01,0.58,0.32,1.17,1.85,62.9%,0.69,0.74,0.16,0.32,2.22,2.33,0.00,Possession,61.82,2.44,18.28,27.81,16.00,1.91,61.82,1.32,0.48,36.0%,0.79,60.0%,35.33,154.73,96.67,1.38,0.26,0.69,0.64,42.22,Miscellaneous Stats,0.00,1.64,0.26,0.00,0.00,0.00,0.00,3.13,0.58,0.74,44.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Abu,GHA,MF,24,Toulouse,Ligue1,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.02,0.02,0.00,0.03,0.17,3.42,1.71,Shooting,Per 90,1.03,0.00,0.0%,0.00,,26.60,0.00,0.02,-0.02,-0.02,Passing,33.71,40.72,82.8%,506.46,137.05,17.28,20.19,85.6%,14.37,16.60,86.6%,0.68,1.88,36.4%,0.03,0.17,2.57,0.34,0.00,Pass Types,40.04,0.68,0.68,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,Goal and Shot Creation,1.20,1.03,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,3.25,2.40,1.20,1.71,0.34,1.37,2.05,66.7%,0.68,1.37,0.51,1.37,4.62,1.71,0.34,Possession,50.82,2.05,13.86,30.80,6.67,1.03,50.82,0.68,0.51,75.0%,0.17,25.0%,24.81,75.11,26.86,0.34,0.00,0.34,0.68,28.92,Miscellaneous Stats,0.00,0.86,0.68,0.00,0.00,0.00,0.00,5.65,1.20,0.34,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayef Aguerd,MAR,DF,29,Marseille,Ligue1,0.03,0.00,0.03,0.03,0.00,0.00,0.24,0.00,0.04,0.04,0.00,0.04,0.89,4.33,0.14,Shooting,Per 90,0.55,0.07,12.5%,0.06,0.50,16.00,0.03,0.07,0.00,0.00,Passing,67.12,74.62,89.9%,1183.40,450.61,28.78,29.70,96.9%,32.09,33.90,94.7%,5.08,8.87,57.3%,0.02,0.14,4.74,0.07,0.03,Pass Types,71.62,2.90,1.53,0.00,0.78,0.17,0.24,0.00,0.00,0.00,0.00,0.10,0.31,Goal and Shot Creation,0.72,0.65,0.00,0.00,0.07,0.00,0.00,0.17,0.14,0.00,0.00,0.03,0.00,0.00,Defense,1.30,0.95,0.75,0.48,0.07,0.58,0.68,85.0%,0.10,1.13,0.82,1.23,2.52,4.91,0.03,Possession,85.46,7.95,37.28,45.70,2.80,0.58,85.46,0.27,0.14,50.0%,0.10,37.5%,57.12,276.65,150.88,0.82,0.00,0.41,0.24,61.35,Miscellaneous Stats,0.00,1.02,0.38,0.00,0.00,0.03,0.00,4.54,2.69,1.36,66.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Aguilar,FRA,DF,32,Lens,Ligue1,0.04,0.09,0.13,0.04,0.00,0.00,0.26,0.00,0.04,0.04,0.11,0.15,2.70,5.06,7.59,Shooting,Per 90,0.82,0.17,21.1%,0.05,0.25,19.20,0.00,0.05,0.00,0.00,Passing,48.86,61.43,79.5%,686.20,285.66,31.40,35.00,89.7%,13.73,17.76,77.3%,2.19,4.46,49.0%,0.10,1.07,3.73,1.67,0.64,Pass Types,51.91,8.97,0.43,0.09,0.13,4.59,8.54,0.00,0.00,0.00,0.00,0.56,1.59,Goal and Shot Creation,2.49,2.14,0.04,0.04,0.13,0.04,0.09,0.34,0.26,0.00,0.00,0.09,0.00,0.00,Defense,2.27,1.24,1.03,0.73,0.51,1.42,2.27,62.3%,0.86,2.02,0.43,1.29,3.56,1.80,0.00,Possession,72.80,2.75,17.67,30.84,24.75,2.45,72.80,1.24,0.51,41.4%,0.51,41.4%,35.86,164.86,96.18,1.63,0.47,1.37,0.39,45.64,Miscellaneous Stats,0.00,1.07,0.86,0.39,0.00,0.00,0.00,5.28,0.82,0.90,47.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelhamid Ait Boudlal,MAR,DF,19,Rennes,Ligue1,0.28,0.14,0.42,0.28,0.00,0.00,0.28,0.14,0.17,0.17,0.04,0.21,1.11,3.47,0.97,Shooting,Per 90,0.42,0.28,66.7%,0.67,1.00,12.40,0.00,0.40,+0.11,+0.11,Passing,41.67,49.03,85.0%,701.25,256.53,19.44,21.81,89.2%,18.61,20.28,91.8%,2.64,5.42,48.7%,0.04,0.14,2.22,0.69,0.00,Pass Types,46.25,2.78,2.22,0.00,0.97,0.28,0.14,0.00,0.00,0.00,0.00,0.00,0.42,Goal and Shot Creation,0.56,0.56,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Defense,1.81,0.83,1.25,0.42,0.14,1.25,1.94,64.3%,0.69,1.11,0.69,0.69,2.50,4.58,0.14,Possession,61.94,7.36,34.03,24.03,4.31,0.83,61.94,0.83,0.28,33.3%,0.56,66.7%,33.75,179.58,106.53,1.11,0.28,1.94,0.28,41.25,Miscellaneous Stats,0.00,0.83,0.28,0.00,0.00,0.00,0.00,3.47,2.22,1.39,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
