Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Paxten Aaronson,USA,MF,21,Colorado Rapids,MLS,0.22,0.09,0.31,0.22,0.00,0.00,0.27,0.00,0.27,0.27,0.09,0.35,2.38,4.36,3.33,Shooting,Per 90,2.38,0.67,28.3%,0.09,0.33,18.50,0.00,0.11,-0.05,-0.05,Passing,26.27,32.65,80.4%,427.42,115.64,12.01,13.49,89.0%,11.20,13.13,85.3%,1.84,3.33,55.4%,0.13,1.35,2.61,1.08,0.05,Pass Types,30.72,1.84,0.31,0.09,0.05,2.34,0.05,0.90,0.81,0.00,0.00,0.09,0.85,Goal and Shot Creation,3.55,2.34,0.18,0.22,0.40,0.31,0.09,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Defense,2.83,1.98,1.08,1.17,0.58,0.99,2.34,42.3%,1.35,1.08,0.22,0.49,3.33,0.81,0.00,Possession,44.39,1.08,6.88,20.73,17.41,3.15,44.39,2.02,0.94,46.7%,0.90,44.4%,25.50,165.56,79.16,1.26,0.76,1.08,1.08,28.07,Miscellaneous Stats,0.00,1.30,1.39,0.18,0.05,0.05,0.00,3.91,0.54,0.81,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liel Abada,ISR,"FW,MF",23,Charlotte,MLS,0.30,0.06,0.36,0.30,0.00,0.00,0.06,0.00,0.43,0.43,0.17,0.59,4.07,3.16,8.33,Shooting,Per 90,2.67,0.91,34.1%,0.11,0.33,16.50,0.00,0.16,-0.12,-0.12,Passing,21.33,28.20,75.6%,305.49,91.70,12.88,15.31,84.1%,6.81,8.93,76.2%,1.09,1.88,58.1%,0.16,1.64,1.58,1.64,0.24,Pass Types,27.95,0.18,0.00,0.00,0.06,1.76,0.18,0.00,0.00,0.00,0.00,0.06,0.61,Goal and Shot Creation,3.04,2.43,0.00,0.18,0.24,0.12,0.06,0.30,0.18,0.00,0.00,0.06,0.06,0.00,Defense,1.70,0.97,0.49,0.73,0.49,1.22,2.31,52.6%,1.09,0.73,0.12,0.30,2.01,0.43,0.00,Possession,38.22,0.49,4.80,12.88,20.97,4.56,38.22,2.13,0.61,28.6%,1.40,65.7%,26.01,176.05,103.43,1.82,1.34,1.58,1.46,28.38,Miscellaneous Stats,0.00,0.73,1.03,0.24,0.00,0.06,0.00,4.07,0.12,0.79,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Abram,PER,DF,28,Atlanta Utd,MLS,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.01,0.00,0.01,0.90,4.52,0.24,Shooting,Per 90,0.06,0.00,0.0%,0.00,,6.40,0.00,0.07,-0.01,-0.01,Passing,53.23,60.52,87.9%,1035.09,381.16,17.00,18.08,94.0%,30.38,32.19,94.4%,5.06,9.04,56.0%,0.02,0.00,4.64,0.30,0.06,Pass Types,59.20,1.27,0.60,0.06,0.42,0.18,0.54,0.00,0.00,0.00,0.00,0.06,0.42,Goal and Shot Creation,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.02,0.42,0.72,0.30,0.00,0.60,1.15,52.6%,0.54,0.72,0.30,0.36,1.39,4.52,0.00,Possession,68.96,6.15,32.19,34.60,2.29,0.24,68.96,0.00,0.00,,0.00,,42.92,202.18,129.48,0.66,0.06,0.24,0.00,51.36,Miscellaneous Stats,0.00,0.60,0.24,0.00,0.00,0.06,0.00,3.56,1.57,1.45,52.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalas Abubakar,GHA,DF,30,FC Dallas,MLS,0.05,0.00,0.05,0.05,0.00,0.00,0.27,0.05,0.03,0.03,0.01,0.04,0.33,1.79,0.43,Shooting,Per 90,0.43,0.16,37.5%,0.13,0.33,14.50,0.00,0.07,+0.03,+0.03,Passing,32.39,37.39,86.6%,530.27,229.67,14.89,16.14,92.3%,15.22,16.68,91.2%,1.63,3.48,46.9%,0.02,0.22,2.17,0.16,0.00,Pass Types,33.86,3.42,0.87,0.05,0.11,0.11,1.52,0.00,0.00,0.00,0.00,0.11,0.54,Goal and Shot Creation,0.54,0.43,0.00,0.00,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Defense,1.36,0.71,0.71,0.54,0.11,0.60,0.98,61.1%,0.38,1.47,0.92,1.20,2.55,5.65,0.00,Possession,48.15,9.67,28.15,16.96,3.32,1.03,48.15,0.11,0.11,100.0%,0.00,0.0%,22.23,87.72,46.36,0.38,0.00,0.65,0.00,25.98,Miscellaneous Stats,0.05,1.03,0.49,0.16,0.00,0.05,0.00,3.04,1.41,0.98,59.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellyn Acosta,USA,MF,29,Chicago Fire,MLS,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.01,0.01,0.06,0.07,0.69,3.71,1.10,Shooting,Per 90,0.27,0.27,100.0%,0.00,0.00,24.80,0.00,0.03,-0.01,-0.01,Passing,46.86,53.73,87.2%,702.00,180.82,26.38,29.13,90.6%,16.90,18.00,93.9%,2.20,3.98,55.2%,0.03,0.41,3.57,0.55,0.00,Pass Types,52.35,1.37,1.24,0.14,0.14,0.27,0.00,0.14,0.00,0.00,0.00,0.00,0.82,Goal and Shot Creation,1.51,1.24,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.96,0.55,0.55,0.41,0.00,0.41,1.51,27.3%,1.10,1.10,0.27,1.92,2.89,1.65,0.00,Possession,62.24,2.34,18.14,34.90,9.48,0.96,62.24,0.69,0.14,20.0%,0.55,80.0%,33.94,123.80,42.73,0.55,0.27,0.96,0.82,45.62,Miscellaneous Stats,0.00,1.51,1.65,0.14,0.00,0.14,0.00,4.12,0.69,0.55,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luciano Acosta,ARG,"MF,FW",30,FC Dallas,MLS,0.25,0.09,0.34,0.22,0.03,0.06,0.40,0.00,0.26,0.21,0.20,0.41,2.71,6.69,6.00,Shooting,Per 90,1.55,0.62,40.0%,0.14,0.35,19.50,0.25,0.14,-0.01,+0.01,Passing,34.86,48.11,72.5%,578.56,219.09,18.29,21.83,83.8%,11.66,15.02,77.6%,3.64,6.87,52.9%,0.26,2.24,5.35,2.64,0.50,Pass Types,41.36,6.47,2.15,0.37,0.40,4.23,0.65,2.24,0.68,0.84,0.00,0.28,1.12,Goal and Shot Creation,4.60,3.48,0.56,0.25,0.06,0.16,0.09,0.40,0.31,0.00,0.06,0.00,0.03,0.00,Defense,1.28,0.90,0.28,0.56,0.44,0.56,1.49,37.5%,0.93,1.12,0.00,0.28,1.55,0.72,0.00,Possession,60.24,0.53,5.44,27.21,28.39,3.76,60.18,4.26,1.99,46.7%,2.08,48.9%,32.50,163.14,85.68,2.27,0.96,2.77,1.65,42.85,Miscellaneous Stats,0.00,1.87,1.90,0.16,0.06,0.00,0.00,3.73,0.31,0.59,34.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Agada,NGA,FW,25,Sporting KC,MLS,0.14,0.14,0.28,0.14,0.00,0.00,0.42,0.07,0.27,0.27,0.12,0.39,1.13,0.92,4.39,Shooting,Per 90,2.83,0.50,17.5%,0.05,0.29,15.20,0.00,0.09,-0.13,-0.13,Passing,13.94,17.90,77.9%,186.51,23.77,7.78,9.62,80.9%,4.32,5.24,82.4%,0.64,0.71,90.0%,0.10,1.34,0.92,0.28,0.00,Pass Types,16.70,0.99,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.21,0.07,Goal and Shot Creation,2.26,1.56,0.00,0.14,0.42,0.14,0.00,0.21,0.14,0.00,0.00,0.07,0.00,0.00,Defense,0.50,0.14,0.07,0.28,0.14,0.14,0.42,33.3%,0.28,0.21,0.14,0.14,0.64,1.27,0.00,Possession,27.59,1.27,2.26,12.10,13.66,5.17,27.59,0.85,0.35,41.7%,0.50,58.3%,15.57,73.80,29.50,0.64,0.57,2.69,1.13,20.66,Miscellaneous Stats,0.07,2.90,1.13,0.57,0.00,0.07,0.00,2.26,2.12,2.41,46.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Agada,NGA,FW,25,Real Salt Lake,MLS,0.14,0.14,0.28,0.14,0.00,0.00,0.42,0.07,0.27,0.27,0.12,0.39,1.13,0.92,4.39,Shooting,Per 90,2.83,0.50,17.5%,0.05,0.29,15.20,0.00,0.09,-0.13,-0.13,Passing,13.94,17.90,77.9%,186.51,23.77,7.78,9.62,80.9%,4.32,5.24,82.4%,0.64,0.71,90.0%,0.10,1.34,0.92,0.28,0.00,Pass Types,16.70,0.99,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.21,0.07,Goal and Shot Creation,2.26,1.56,0.00,0.14,0.42,0.14,0.00,0.21,0.14,0.00,0.00,0.07,0.00,0.00,Defense,0.50,0.14,0.07,0.28,0.14,0.14,0.42,33.3%,0.28,0.21,0.14,0.14,0.64,1.27,0.00,Possession,27.59,1.27,2.26,12.10,13.66,5.17,27.59,0.85,0.35,41.7%,0.50,58.3%,15.57,73.80,29.50,0.64,0.57,2.69,1.13,20.66,Miscellaneous Stats,0.07,2.90,1.13,0.57,0.00,0.07,0.00,2.26,2.12,2.41,46.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Agyemang,USA,FW,24,Charlotte,MLS,0.38,0.13,0.51,0.35,0.03,0.03,0.13,0.00,0.33,0.30,0.13,0.44,2.56,1.44,6.17,Shooting,Per 90,2.49,1.09,43.6%,0.14,0.32,13.70,0.00,0.12,+0.05,+0.05,Passing,11.15,15.50,72.0%,147.06,24.70,6.74,8.95,75.4%,3.23,4.15,77.7%,0.29,0.42,69.2%,0.08,1.18,0.64,0.45,0.00,Pass Types,14.38,1.12,0.03,0.03,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.32,Goal and Shot Creation,2.72,1.66,0.00,0.38,0.22,0.42,0.03,0.42,0.19,0.00,0.10,0.00,0.13,0.00,Defense,0.38,0.22,0.06,0.26,0.06,0.13,0.32,40.0%,0.19,0.32,0.00,0.10,0.48,0.99,0.00,Possession,29.01,1.09,2.27,11.12,16.20,6.17,28.98,3.61,1.21,33.6%,2.08,57.5%,17.80,127.80,56.17,1.41,1.89,3.39,2.56,22.01,Miscellaneous Stats,0.00,1.79,2.04,0.54,0.03,0.00,0.00,2.49,2.65,2.78,48.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Ahmed,CAN,FW,24,Vancouver W'caps,MLS,0.00,0.56,0.56,0.00,0.00,0.00,0.14,0.00,0.15,0.15,0.34,0.49,5.38,5.59,15.65,Shooting,Per 90,1.75,0.63,36.0%,0.00,0.00,16.50,0.00,0.08,-0.15,-0.15,Passing,38.64,47.93,80.6%,582.14,152.82,22.71,25.78,88.1%,13.14,15.58,84.3%,2.03,3.00,67.4%,0.38,2.59,2.52,2.86,0.77,Pass Types,46.54,1.26,0.35,0.35,0.42,3.07,0.77,0.14,0.14,0.00,0.00,0.14,1.19,Goal and Shot Creation,5.52,4.75,0.00,0.35,0.07,0.28,0.07,1.12,0.84,0.00,0.07,0.00,0.21,0.00,Defense,1.19,0.70,0.21,0.42,0.56,0.70,1.47,47.6%,0.77,1.19,0.00,0.42,1.61,0.77,0.00,Possession,59.39,0.98,4.75,18.94,36.34,7.06,59.39,3.28,1.47,44.7%,1.61,48.9%,38.71,262.52,143.18,2.59,3.28,2.38,1.26,46.82,Miscellaneous Stats,0.00,0.70,1.75,0.21,0.07,0.00,0.00,3.14,0.77,0.91,45.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
