Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Rodrigo Abascal,URU,DF,31,Vitória,Portugal Primera,0.03,0.06,0.10,0.03,0.00,0.00,0.19,0.03,0.02,0.02,0.06,0.08,0.26,2.88,0.94,Shooting,Per 90,0.52,0.13,25.0%,0.06,0.25,23.30,0.06,0.04,+0.01,+0.01,Passing,38.44,51.72,74.3%,877.56,425.39,9.62,10.72,89.7%,20.44,24.10,84.8%,8.06,15.64,51.6%,0.06,0.58,3.40,0.62,0.29,Pass Types,44.17,7.32,3.04,0.03,0.68,1.65,3.82,0.03,0.03,0.00,0.00,0.23,0.49,Goal and Shot Creation,1.68,0.97,0.62,0.00,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Defense,1.62,0.91,1.23,0.39,0.00,0.81,1.33,61.0%,0.52,1.33,0.84,1.30,2.91,4.60,0.03,Possession,61.86,7.58,31.28,23.77,7.16,0.68,61.86,0.19,0.10,50.0%,0.10,50.0%,32.48,129.09,70.05,0.13,0.03,0.49,0.10,36.37,Miscellaneous Stats,0.00,1.17,0.26,0.16,0.00,0.03,0.06,3.17,1.68,0.74,69.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Abbey,ENG,DF,22,Rio Ave,Portugal Primera,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.01,0.01,0.01,0.02,0.85,1.82,0.51,Shooting,Per 90,0.17,0.00,0.0%,0.00,,20.20,0.00,0.04,-0.01,-0.01,Passing,42.76,51.84,82.5%,701.03,208.16,18.97,20.21,93.8%,21.24,23.74,89.5%,1.59,5.56,28.6%,0.01,0.28,1.99,0.28,0.11,Pass Types,46.39,5.28,2.27,0.00,0.23,0.51,2.84,0.00,0.00,0.00,0.00,0.17,0.68,Goal and Shot Creation,0.85,0.68,0.11,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,Defense,1.48,0.97,1.08,0.23,0.17,0.74,0.91,81.3%,0.17,1.19,0.51,0.91,2.38,5.39,0.06,Possession,62.63,5.34,31.40,27.48,4.03,0.28,62.63,0.80,0.40,50.0%,0.28,35.7%,36.28,187.55,93.18,0.68,0.06,0.74,0.57,39.63,Miscellaneous Stats,0.00,0.62,0.45,0.00,0.00,0.06,0.00,4.03,0.74,0.80,48.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabit Abdulai,GHA,MF,26,Alverca,Portugal Primera,0.00,0.09,0.09,0.00,0.00,0.00,0.46,0.09,0.02,0.02,0.02,0.05,0.37,2.38,0.37,Shooting,Per 90,1.01,0.27,27.3%,0.00,0.00,21.70,0.00,0.02,-0.02,-0.02,Passing,28.81,35.03,82.2%,486.13,108.02,13.81,15.64,88.3%,11.34,12.99,87.3%,2.74,4.48,61.2%,0.03,0.46,2.20,0.27,0.00,Pass Types,34.66,0.18,0.09,0.00,0.37,0.18,0.09,0.00,0.00,0.00,0.00,0.18,0.64,Goal and Shot Creation,1.37,1.10,0.00,0.18,0.09,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Defense,1.74,1.19,0.82,0.82,0.09,0.73,2.10,34.8%,1.37,1.01,0.37,1.01,2.74,2.20,0.09,Possession,44.73,2.65,12.16,26.62,6.77,1.28,44.73,1.37,0.91,66.7%,0.46,33.3%,25.70,111.86,34.94,0.46,0.00,1.55,0.82,27.71,Miscellaneous Stats,0.09,1.65,0.55,0.00,0.00,0.00,0.00,5.03,1.01,0.37,73.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriano,BRA,MF,26,Santa Clara,Portugal Primera,0.00,0.03,0.03,0.00,0.00,0.00,0.36,0.03,0.05,0.05,0.04,0.10,0.72,3.62,1.35,Shooting,Per 90,0.79,0.16,20.8%,0.00,0.00,22.50,0.00,0.06,-0.05,-0.05,Passing,38.70,45.05,85.9%,674.79,176.94,16.64,18.51,89.9%,17.89,19.70,90.8%,3.19,4.90,65.1%,0.03,0.62,4.18,0.30,0.00,Pass Types,41.89,2.96,2.80,0.13,0.36,0.43,0.16,0.00,0.00,0.00,0.00,0.20,0.59,Goal and Shot Creation,1.91,1.55,0.07,0.07,0.13,0.03,0.07,0.07,0.00,0.03,0.00,0.03,0.00,0.00,Defense,0.76,0.30,0.20,0.53,0.03,0.49,0.86,57.7%,0.36,0.82,0.23,0.69,1.45,1.68,0.00,Possession,52.38,2.37,12.56,32.72,7.73,0.59,52.38,1.81,0.99,54.5%,0.69,38.2%,28.90,140.61,64.29,0.62,0.00,0.86,0.49,35.84,Miscellaneous Stats,0.03,1.15,1.02,0.00,0.00,0.00,0.00,4.54,0.53,0.66,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Afonso,POR,DF,35,Tondela,Portugal Primera,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.02,0.02,0.00,0.02,0.00,2.02,0.00,Shooting,Per 90,0.37,0.00,0.0%,0.00,,10.90,0.00,0.06,-0.02,-0.02,Passing,30.92,36.99,83.6%,657.79,237.42,7.73,8.83,87.5%,18.40,20.06,91.7%,4.60,7.18,64.1%,0.00,0.00,1.10,0.00,0.00,Pass Types,34.23,2.58,2.39,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.74,Goal and Shot Creation,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.21,1.29,1.66,0.55,0.00,1.29,1.84,70.0%,0.55,2.02,1.29,3.13,5.34,7.73,0.00,Possession,53.19,9.02,31.84,20.25,1.29,0.92,53.19,0.18,0.18,100.0%,0.00,0.0%,24.66,108.96,53.37,0.18,0.00,0.55,0.00,27.98,Miscellaneous Stats,0.00,0.55,0.55,0.18,0.00,0.00,0.00,2.58,3.31,2.21,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aguilera,CRC,MF,22,Rio Ave,Portugal Primera,0.09,0.05,0.14,0.09,0.00,0.00,0.28,0.00,0.06,0.06,0.11,0.17,0.92,4.59,1.51,Shooting,Per 90,1.10,0.32,29.2%,0.08,0.29,25.10,0.41,0.06,+0.03,+0.03,Passing,35.71,45.16,79.1%,658.73,192.53,14.59,16.29,89.6%,15.70,17.67,88.8%,4.27,8.12,52.5%,0.08,1.10,3.86,0.32,0.00,Pass Types,40.43,4.41,2.39,0.14,0.37,2.94,0.00,1.93,1.19,0.41,0.05,0.32,0.55,Goal and Shot Creation,2.25,1.42,0.41,0.14,0.05,0.23,0.00,0.14,0.09,0.05,0.00,0.00,0.00,0.00,Defense,1.24,0.83,0.60,0.46,0.18,0.46,1.65,27.8%,1.19,0.55,0.00,1.10,2.34,1.10,0.05,Possession,53.70,1.84,11.20,31.53,11.89,0.60,53.70,2.02,1.06,52.3%,0.83,40.9%,32.17,150.63,72.19,0.92,0.09,1.33,1.42,35.98,Miscellaneous Stats,0.00,1.38,2.48,0.09,0.00,0.00,0.00,5.46,0.64,0.64,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makan Aiko,FRA,"FW,MF",25,Tondela,Portugal Primera,0.23,0.23,0.45,0.23,0.00,0.00,0.23,0.00,0.24,0.24,0.15,0.39,3.41,1.70,6.70,Shooting,Per 90,1.82,0.34,18.8%,0.13,0.67,15.50,0.00,0.13,-0.01,-0.01,Passing,13.98,21.59,64.7%,184.66,42.27,8.98,11.02,81.4%,4.09,6.48,63.2%,0.23,1.36,16.7%,0.18,0.80,0.91,0.80,0.45,Pass Types,20.91,0.68,0.00,0.00,0.00,3.86,0.23,0.23,0.23,0.00,0.00,0.00,1.02,Goal and Shot Creation,2.05,1.70,0.00,0.11,0.00,0.23,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Defense,1.02,0.68,0.11,0.57,0.34,0.00,0.23,0.0%,0.23,1.02,0.00,0.91,1.93,0.57,0.00,Possession,33.41,0.23,2.39,11.70,19.77,3.64,33.41,2.16,0.68,31.6%,1.14,52.6%,21.59,165.45,94.89,1.82,1.02,2.73,1.48,22.39,Miscellaneous Stats,0.00,1.48,1.70,0.45,0.00,0.00,0.00,3.30,0.91,2.16,29.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babatunde Akinsola,NGA,"FW,MF",22,AVS Futebol,Portugal Primera,0.09,0.09,0.19,0.09,0.00,0.00,0.09,0.00,0.11,0.11,0.09,0.20,3.41,2.62,6.36,Shooting,Per 90,1.82,0.37,20.5%,0.05,0.25,20.20,0.00,0.06,-0.01,-0.01,Passing,14.22,21.28,66.8%,217.42,63.66,8.14,10.29,79.1%,4.30,6.27,68.7%,1.08,2.67,40.4%,0.08,0.94,1.17,1.17,0.42,Pass Types,20.11,1.12,0.14,0.05,0.09,2.99,0.75,0.19,0.14,0.05,0.00,0.05,0.80,Goal and Shot Creation,2.85,1.82,0.14,0.28,0.28,0.28,0.05,0.23,0.14,0.00,0.00,0.05,0.05,0.00,Defense,0.70,0.56,0.23,0.28,0.19,0.51,1.22,42.3%,0.70,0.89,0.09,0.51,1.22,0.89,0.00,Possession,35.13,0.65,4.35,13.66,18.80,1.87,35.13,4.54,2.25,49.5%,1.96,43.3%,22.50,183.23,91.36,3.13,0.56,4.02,1.78,23.76,Miscellaneous Stats,0.00,0.80,1.82,0.33,0.00,0.00,0.00,4.12,0.51,1.26,28.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerem Aktürkoğlu,TUR,MF,27,Benfica,Portugal Primera,0.41,0.41,0.83,0.41,0.00,0.00,0.25,0.00,0.52,0.52,0.38,0.90,2.72,3.30,8.42,Shooting,Per 90,2.64,1.16,43.8%,0.16,0.36,18.60,0.17,0.20,-0.11,-0.11,Passing,20.15,28.73,70.1%,319.13,89.01,11.06,12.96,85.4%,6.19,8.59,72.1%,1.82,3.55,51.2%,0.22,1.98,1.24,1.32,0.41,Pass Types,25.51,2.89,0.33,0.25,0.08,3.30,0.83,1.49,0.25,1.07,0.00,0.33,0.91,Goal and Shot Creation,3.55,2.15,0.58,0.25,0.33,0.17,0.08,0.50,0.41,0.00,0.08,0.00,0.00,0.00,Defense,1.24,0.83,0.58,0.41,0.25,0.41,1.24,33.3%,0.83,0.91,0.00,0.74,1.98,0.41,0.00,Possession,41.95,0.25,4.21,13.21,25.27,4.79,41.95,2.89,0.66,22.9%,2.15,74.3%,24.03,134.50,69.03,1.73,1.40,2.48,0.99,27.41,Miscellaneous Stats,0.00,0.83,1.32,0.58,0.00,0.00,0.00,4.62,0.83,0.58,58.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan,BRA,"MF,FW",25,Moreirense,Portugal Primera,0.23,0.26,0.49,0.13,0.10,0.10,0.23,0.00,0.15,0.07,0.15,0.22,1.45,4.94,3.65,Shooting,Per 90,1.51,0.53,34.8%,0.09,0.25,26.30,0.23,0.05,+0.08,+0.06,Passing,33.47,41.59,80.5%,531.84,164.60,17.01,18.76,90.7%,12.01,13.89,86.5%,2.63,5.43,48.5%,0.16,1.91,3.72,0.92,0.13,Pass Types,35.64,5.66,2.37,0.16,0.30,4.28,0.20,2.53,0.99,1.28,0.00,0.30,0.63,Goal and Shot Creation,3.65,2.50,0.89,0.20,0.07,0.00,0.00,0.53,0.30,0.23,0.00,0.00,0.00,0.00,Defense,0.92,0.53,0.33,0.43,0.16,0.36,1.02,35.5%,0.66,0.69,0.07,0.16,1.09,0.53,0.00,Possession,49.95,0.49,5.76,27.08,17.70,1.48,49.85,1.48,0.56,37.8%,0.79,53.3%,27.35,134.65,67.56,1.61,0.10,2.04,1.32,35.28,Miscellaneous Stats,0.00,1.22,1.74,0.20,0.00,0.00,0.00,3.62,0.16,0.76,17.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
