Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Zakaria Aboukhlal,MAR,"DF,FW",25,Torino,Serie A,0.08,0.00,0.08,0.08,0.00,0.00,0.34,0.00,0.20,0.20,0.03,0.23,2.21,1.70,6.70,Shooting,Per 90,2.38,0.85,35.7%,0.04,0.10,15.50,0.00,0.08,-0.11,-0.11,Passing,14.34,21.63,66.3%,204.01,66.76,8.65,11.20,77.3%,4.33,6.19,69.9%,0.68,1.70,40.0%,0.08,0.51,1.02,0.51,0.34,Pass Types,19.85,1.70,0.08,0.00,0.00,1.70,1.53,0.00,0.00,0.00,0.00,0.08,1.10,Goal and Shot Creation,1.61,0.93,0.34,0.00,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,Defense,2.29,1.27,0.93,0.59,0.76,0.93,2.29,40.7%,1.36,1.27,0.17,0.08,2.38,0.93,0.00,Possession,34.44,0.85,5.85,12.55,16.88,4.16,34.44,3.22,1.02,31.6%,1.95,60.5%,20.53,126.48,64.89,1.70,0.76,2.46,1.19,22.73,Miscellaneous Stats,0.00,1.53,1.87,1.36,0.08,0.00,0.00,4.07,0.59,1.95,23.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Acerbi,ITA,DF,37,Inter,Serie A,0.03,0.07,0.10,0.03,0.00,0.00,0.13,0.00,0.04,0.04,0.05,0.09,0.87,2.75,0.64,Shooting,Per 90,0.30,0.10,33.3%,0.11,0.33,9.50,0.00,0.12,0.00,0.00,Passing,52.79,57.42,91.9%,973.09,265.07,18.09,19.16,94.4%,30.64,32.18,95.2%,3.62,4.90,74.0%,0.06,0.40,2.11,0.27,0.13,Pass Types,55.54,1.75,1.04,0.00,0.10,0.30,0.17,0.00,0.00,0.00,0.00,0.13,0.40,Goal and Shot Creation,0.91,0.84,0.00,0.00,0.07,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Defense,1.04,0.84,0.74,0.27,0.03,0.47,0.77,60.9%,0.30,1.31,0.91,1.34,2.38,5.50,0.00,Possession,68.49,7.99,34.60,29.83,4.33,0.84,68.49,0.23,0.13,57.1%,0.10,42.9%,38.32,178.86,93.86,0.77,0.03,0.54,0.03,46.98,Miscellaneous Stats,0.00,0.81,0.74,0.17,0.00,0.00,0.00,3.52,2.75,1.44,65.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che Adams,SCO,FW,29,Torino,Serie A,0.25,0.07,0.32,0.25,0.00,0.04,0.04,0.00,0.30,0.27,0.07,0.34,0.92,1.80,6.08,Shooting,Per 90,2.37,0.78,32.8%,0.10,0.32,16.80,0.00,0.12,-0.05,-0.02,Passing,15.97,20.92,76.4%,269.61,52.72,8.23,10.18,80.9%,5.16,6.33,81.6%,1.87,2.30,81.5%,0.07,0.88,1.31,0.39,0.04,Pass Types,19.54,1.27,0.07,0.07,0.39,0.46,0.04,0.04,0.00,0.00,0.00,0.11,0.18,Goal and Shot Creation,2.16,1.66,0.04,0.04,0.28,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Defense,0.49,0.25,0.18,0.14,0.18,0.14,0.46,30.8%,0.32,0.28,0.11,0.07,0.57,0.71,0.00,Possession,29.79,0.78,2.33,13.29,14.42,3.92,29.75,1.41,0.60,42.5%,0.78,55.0%,17.92,75.72,25.80,0.67,0.57,2.16,1.10,23.36,Miscellaneous Stats,0.00,0.95,1.02,0.60,0.00,0.00,0.00,1.94,1.20,2.23,35.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Addai,NED,FW,20,Como,Serie A,0.38,0.00,0.38,0.38,0.00,0.00,0.38,0.00,0.19,0.19,0.06,0.25,3.81,2.29,8.14,Shooting,Per 90,1.91,0.89,46.7%,0.20,0.43,19.80,0.00,0.10,+0.19,+0.19,Passing,16.91,24.28,69.6%,251.57,56.31,10.17,12.84,79.2%,5.47,7.50,72.9%,0.89,1.78,50.0%,0.10,0.64,0.76,0.89,0.25,Pass Types,23.77,0.51,0.13,0.13,0.25,1.40,0.25,0.13,0.00,0.13,0.00,0.00,0.76,Goal and Shot Creation,1.78,1.14,0.13,0.38,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.02,0.25,0.25,0.64,0.13,0.25,1.02,25.0%,0.76,0.89,0.13,0.38,1.40,0.51,0.00,Possession,36.23,0.38,4.19,12.84,19.83,4.07,36.23,4.32,1.53,35.3%,2.16,50.0%,23.90,182.54,108.05,1.91,2.03,1.91,2.54,25.93,Miscellaneous Stats,0.00,1.78,1.78,0.25,0.00,0.00,0.00,3.18,0.38,0.25,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Aebischer,SUI,MF,29,Pisa,Serie A,0.00,0.05,0.05,0.00,0.00,0.00,0.28,0.00,0.02,0.02,0.04,0.07,1.26,4.99,1.21,Shooting,Per 90,0.56,0.14,25.0%,0.00,0.00,24.60,0.00,0.04,-0.02,-0.02,Passing,42.83,50.39,85.0%,803.42,210.75,17.68,19.18,92.2%,18.52,20.90,88.6%,5.79,8.40,68.9%,0.07,0.84,4.53,0.70,0.19,Pass Types,46.14,4.11,2.47,0.00,0.61,1.26,0.19,0.61,0.19,0.28,0.00,0.14,0.61,Goal and Shot Creation,2.47,2.01,0.23,0.14,0.00,0.05,0.05,0.19,0.14,0.00,0.05,0.00,0.00,0.00,Defense,2.47,1.73,1.03,1.21,0.23,1.35,1.96,69.0%,0.61,0.84,0.23,1.12,3.59,0.98,0.14,Possession,59.16,2.61,14.18,36.86,8.63,0.33,59.16,0.79,0.37,47.1%,0.33,41.2%,33.50,152.10,76.00,1.12,0.14,1.03,0.56,37.84,Miscellaneous Stats,0.00,1.40,1.40,0.00,0.00,0.00,0.00,4.81,0.51,0.75,40.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honest Ahanor,ITA,DF,17,Atalanta,Serie A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.02,0.15,0.91,1.74,0.91,Shooting,Per 90,0.83,0.15,18.2%,0.00,0.00,9.30,0.00,0.17,-0.14,-0.14,Passing,39.47,44.70,88.3%,626.74,180.38,18.86,20.53,91.9%,18.86,20.91,90.2%,1.14,1.97,57.7%,0.05,0.30,2.27,0.23,0.00,Pass Types,42.80,1.74,0.91,0.00,0.08,0.30,0.61,0.08,0.08,0.00,0.00,0.15,1.36,Goal and Shot Creation,0.76,0.61,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.50,1.52,1.36,0.76,0.38,1.44,1.97,73.1%,0.53,1.97,0.61,0.98,3.48,3.33,0.08,Possession,56.82,5.83,24.02,26.74,6.67,1.82,56.82,0.68,0.23,33.3%,0.38,55.6%,30.98,138.64,70.38,0.83,0.23,1.06,0.30,36.67,Miscellaneous Stats,0.00,1.36,1.82,0.00,0.00,0.00,0.00,3.03,2.05,1.14,64.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,SUI,DF,30,Inter,Serie A,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.07,0.07,0.03,0.10,1.52,5.24,0.44,Shooting,Per 90,0.68,0.07,10.0%,0.00,0.00,12.70,0.00,0.11,-0.07,-0.07,Passing,66.54,72.45,91.8%,1193.09,350.47,27.01,28.57,94.6%,34.15,36.14,94.5%,4.90,6.42,76.3%,0.06,0.27,6.69,0.37,0.07,Pass Types,69.41,2.94,1.45,0.03,0.44,0.17,1.42,0.00,0.00,0.00,0.00,0.10,0.37,Goal and Shot Creation,1.49,1.35,0.03,0.03,0.07,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Defense,1.28,0.57,0.71,0.47,0.10,0.78,1.15,67.6%,0.37,0.85,0.47,0.81,2.10,3.25,0.10,Possession,80.33,4.63,26.17,45.14,9.47,1.08,80.33,0.10,0.07,66.7%,0.03,33.3%,52.74,267.77,158.33,1.83,0.10,0.34,0.14,59.17,Miscellaneous Stats,0.00,0.68,0.41,0.03,0.00,0.00,0.00,4.26,1.49,1.08,57.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer Akinsanmiro,NGA,MF,21,Pisa,Serie A,0.00,0.11,0.11,0.00,0.00,0.00,0.11,0.00,0.06,0.06,0.14,0.19,2.00,4.85,2.85,Shooting,Per 90,1.05,0.32,30.0%,0.00,0.00,24.20,0.00,0.06,-0.06,-0.06,Passing,25.19,29.82,84.5%,458.33,129.94,10.22,11.17,91.5%,11.70,13.28,88.1%,2.32,3.69,62.9%,0.12,1.16,4.32,0.63,0.32,Pass Types,28.35,1.05,0.42,0.21,0.32,1.05,0.11,0.00,0.00,0.00,0.00,0.42,0.53,Goal and Shot Creation,2.63,2.00,0.00,0.21,0.21,0.21,0.00,0.21,0.11,0.00,0.00,0.11,0.00,0.00,Defense,2.11,1.37,0.95,0.84,0.32,0.53,1.05,50.0%,0.53,0.74,0.21,1.16,3.27,0.95,0.00,Possession,41.31,1.16,8.54,23.61,10.33,1.16,41.31,3.16,1.69,53.3%,1.37,43.3%,24.13,143.01,80.73,1.79,0.21,2.00,1.16,24.56,Miscellaneous Stats,0.00,2.21,1.79,0.11,0.00,0.00,0.00,7.06,0.74,0.95,43.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Daniel Akpa-Akpro,CIV,MF,33,Hellas Verona,Serie A,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.04,0.04,0.02,0.06,1.56,1.75,1.56,Shooting,Per 90,0.50,0.19,37.5%,0.00,0.00,17.50,0.00,0.08,-0.04,-0.04,Passing,21.88,28.61,76.5%,324.41,115.43,12.65,14.52,87.1%,7.35,9.29,79.2%,1.06,1.62,65.4%,0.02,0.37,1.87,0.06,0.00,Pass Types,27.11,1.31,0.37,0.00,0.06,0.50,0.93,0.00,0.00,0.00,0.00,0.19,1.25,Goal and Shot Creation,0.81,0.56,0.00,0.00,0.06,0.06,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.06,Defense,3.05,1.87,1.31,1.62,0.12,0.93,1.99,46.9%,1.06,1.75,0.50,1.56,4.61,1.56,0.06,Possession,43.38,2.43,12.59,22.81,8.79,0.69,43.38,2.99,1.00,33.3%,1.56,52.1%,22.69,139.05,63.39,1.12,0.12,2.18,0.44,22.19,Miscellaneous Stats,0.00,2.68,1.18,0.00,0.00,0.00,0.00,5.05,1.62,1.81,47.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontus Almqvist,SWE,"DF,MF",26,Parma,Serie A,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.14,0.14,0.13,0.27,2.41,0.65,6.04,Shooting,Per 90,1.30,0.46,35.7%,0.00,0.00,15.20,0.00,0.11,-0.14,-0.14,Passing,13.47,19.32,69.7%,184.74,41.33,9.01,11.42,78.9%,3.16,4.92,64.2%,0.74,1.30,57.1%,0.08,1.11,0.09,0.46,0.37,Pass Types,19.04,0.28,0.09,0.00,0.00,1.39,0.19,0.00,0.00,0.00,0.00,0.00,1.49,Goal and Shot Creation,1.95,1.30,0.09,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.58,1.11,0.65,0.84,0.09,0.56,1.67,33.3%,1.11,1.49,0.00,1.49,3.07,0.56,0.00,Possession,32.32,1.02,5.48,11.89,15.51,3.07,32.32,3.16,1.30,41.2%,1.76,55.9%,20.25,143.68,57.77,1.86,1.39,2.60,1.76,20.81,Miscellaneous Stats,0.00,1.21,1.76,0.09,0.00,0.00,0.00,2.79,0.93,1.02,47.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
