Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Oliver Abildgaard,DEN,"MF,DF",29,Sampdoria,Serie B (ITA),0.00,0.17,0.17,0.00,0.00,0.00,0.11,0.00,0.03,0.03,0.05,0.09,0.28,3.87,0.74,Shooting,Per 90,0.85,0.11,13.3%,0.00,0.00,16.50,0.00,0.04,-0.03,-0.03,Passing,30.46,41.84,72.8%,532.20,187.57,11.95,15.54,76.9%,15.48,19.24,80.5%,2.16,4.78,45.2%,0.05,0.68,2.96,0.34,0.11,Pass Types,40.25,1.42,0.80,0.06,0.23,0.63,0.17,0.00,0.00,0.00,0.00,0.17,0.74,Goal and Shot Creation,1.42,0.91,0.00,0.00,0.17,0.28,0.06,0.17,0.06,0.00,0.00,0.06,0.00,0.06,Defense,1.14,0.51,0.28,0.63,0.23,0.51,1.08,47.4%,0.57,1.37,0.63,1.59,2.73,5.46,0.11,Possession,55.39,5.46,19.53,29.20,6.95,2.68,55.39,0.28,0.11,40.0%,0.11,40.0%,20.32,96.89,44.23,0.34,0.00,0.80,0.40,25.28,Miscellaneous Stats,0.00,2.05,2.16,0.00,0.00,0.00,0.00,3.53,7.80,2.85,73.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Abiuso,GRE,FW,22,Carrarese,Serie B (ITA),0.38,0.19,0.57,0.38,0.00,0.00,0.19,0.00,0.34,0.34,0.15,0.50,1.02,2.16,5.21,Shooting,Per 90,2.48,0.76,30.8%,0.15,0.50,11.60,0.00,0.14,+0.04,+0.04,Passing,11.50,19.94,57.6%,166.73,54.50,5.65,9.46,59.7%,3.87,5.59,69.3%,0.76,1.21,63.2%,0.08,0.83,0.89,0.76,0.13,Pass Types,19.44,0.44,0.13,0.25,0.06,0.51,0.06,0.00,0.00,0.00,0.00,0.06,0.70,Goal and Shot Creation,1.91,1.33,0.00,0.06,0.32,0.13,0.06,0.38,0.25,0.00,0.06,0.06,0.00,0.00,Defense,1.52,1.02,0.38,0.70,0.44,0.38,1.08,35.3%,0.70,0.83,0.13,0.25,1.78,1.21,0.00,Possession,32.71,1.27,3.56,14.67,14.86,5.27,32.71,2.10,0.89,42.4%,1.21,57.6%,15.05,67.71,29.03,0.44,0.38,2.60,0.95,22.61,Miscellaneous Stats,0.00,1.52,1.40,0.13,0.00,0.00,0.00,1.40,3.62,3.11,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuele Adamo,ITA,"DF,MF",27,Cesena,Serie B (ITA),0.06,0.00,0.06,0.06,0.00,0.00,0.75,0.00,0.06,0.06,0.08,0.14,2.84,2.95,4.69,Shooting,Per 90,1.33,0.29,21.7%,0.04,0.20,20.40,0.00,0.05,0.00,0.00,Passing,35.71,45.20,79.0%,571.89,188.74,19.39,21.59,89.8%,11.92,14.76,80.8%,3.30,5.67,58.2%,0.12,0.81,2.14,1.16,0.35,Pass Types,39.30,5.85,0.87,0.00,0.41,2.60,4.57,0.41,0.23,0.17,0.00,0.06,1.27,Goal and Shot Creation,2.89,2.08,0.23,0.12,0.29,0.17,0.00,0.29,0.23,0.00,0.06,0.00,0.00,0.00,Defense,1.79,0.98,0.98,0.75,0.06,1.16,2.03,57.1%,0.87,1.56,0.29,1.04,2.84,2.84,0.00,Possession,58.69,2.95,15.86,25.64,18.29,1.45,58.69,2.89,1.39,48.0%,1.27,44.0%,29.40,205.00,107.59,2.20,0.35,1.74,0.87,34.55,Miscellaneous Stats,0.00,1.62,2.08,0.17,0.00,0.00,0.00,5.44,0.12,0.81,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuele Adamo,ITA,DF,27,Spezia,Serie B (ITA),0.06,0.00,0.06,0.06,0.00,0.00,0.75,0.00,0.06,0.06,0.08,0.14,2.84,2.95,4.69,Shooting,Per 90,1.33,0.29,21.7%,0.04,0.20,20.40,0.00,0.05,0.00,0.00,Passing,35.71,45.20,79.0%,571.89,188.74,19.39,21.59,89.8%,11.92,14.76,80.8%,3.30,5.67,58.2%,0.12,0.81,2.14,1.16,0.35,Pass Types,39.30,5.85,0.87,0.00,0.41,2.60,4.57,0.41,0.23,0.17,0.00,0.06,1.27,Goal and Shot Creation,2.89,2.08,0.23,0.12,0.29,0.17,0.00,0.29,0.23,0.00,0.06,0.00,0.00,0.00,Defense,1.79,0.98,0.98,0.75,0.06,1.16,2.03,57.1%,0.87,1.56,0.29,1.04,2.84,2.84,0.00,Possession,58.69,2.95,15.86,25.64,18.29,1.45,58.69,2.89,1.39,48.0%,1.27,44.0%,29.40,205.00,107.59,2.20,0.35,1.74,0.87,34.55,Miscellaneous Stats,0.00,1.62,2.08,0.17,0.00,0.00,0.00,5.44,0.12,0.81,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius Adamonis,LTU,GK,28,Südtirol,Serie B (ITA),,,,,,0.10,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,3.87,2.74,73.3%,0.32,0.45,0.23,0.19,19.4%,0.10,0.00,0.00,0.0%,Advanced Goalkeeping,0.03,0.23,0.00,1.22,0.30,+0.09,7.26,18.65,38.9%,16.45,2.84,66.1%,46.1,8.19,94.9%,60.7,16.48,1.00,6.1%,0.55,11.6
Andrea Adorante,ITA,FW,25,Venezia,Serie B (ITA),0.61,0.04,0.65,0.45,0.16,0.20,0.20,0.00,0.45,0.29,0.07,0.36,0.90,1.22,4.86,Shooting,Per 90,2.37,1.18,50.0%,0.19,0.38,16.40,0.04,0.12,+0.16,+0.16,Passing,10.82,16.86,64.2%,141.71,21.96,6.37,9.06,70.3%,2.69,4.16,64.7%,0.57,1.02,56.0%,0.07,0.73,1.06,0.20,0.00,Pass Types,16.16,0.65,0.00,0.04,0.08,0.49,0.04,0.00,0.00,0.00,0.00,0.04,0.33,Goal and Shot Creation,1.67,1.14,0.00,0.12,0.20,0.20,0.00,0.20,0.16,0.00,0.04,0.00,0.00,0.00,Defense,0.29,0.08,0.08,0.20,0.00,0.12,0.37,33.3%,0.24,0.41,0.08,0.12,0.41,1.06,0.00,Possession,27.88,1.22,2.45,12.82,12.90,4.16,27.67,1.51,0.45,29.7%,0.94,62.2%,15.67,65.84,23.80,0.65,0.45,3.14,1.59,21.63,Miscellaneous Stats,0.00,1.92,2.57,0.45,0.00,0.00,0.00,2.12,2.94,3.80,43.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davide Adorni,ITA,DF,33,Modena,Serie B (ITA),0.03,0.03,0.06,0.03,0.00,0.00,0.15,0.00,0.07,0.07,0.02,0.09,0.53,2.58,0.15,Shooting,Per 90,0.53,0.09,16.7%,0.06,0.33,11.30,0.00,0.13,-0.04,-0.04,Passing,36.19,42.36,85.4%,766.99,312.57,8.96,10.03,89.3%,22.28,23.94,93.1%,4.78,7.65,62.4%,0.01,0.36,2.25,0.21,0.00,Pass Types,40.02,2.22,1.31,0.00,0.15,0.00,0.06,0.00,0.00,0.00,0.00,0.12,0.39,Goal and Shot Creation,0.89,0.68,0.00,0.03,0.12,0.03,0.03,0.09,0.06,0.00,0.00,0.00,0.03,0.00,Defense,1.31,0.74,0.68,0.53,0.09,0.59,0.80,74.1%,0.21,1.13,0.74,1.10,2.40,5.61,0.15,Possession,53.54,6.26,27.11,24.65,1.96,1.16,53.54,0.09,0.06,66.7%,0.03,33.3%,27.20,134.41,76.00,0.15,0.00,0.59,0.12,31.35,Miscellaneous Stats,0.00,1.10,0.59,0.00,0.03,0.00,0.00,2.91,2.64,2.37,52.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustín Álvarez,URU,"FW,MF",24,Monza,Serie B (ITA),0.44,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.46,0.46,0.04,0.50,0.74,1.33,3.26,Shooting,Per 90,3.40,0.89,26.1%,0.13,0.50,15.10,0.15,0.13,-0.01,-0.01,Passing,17.32,21.76,79.6%,240.69,42.34,10.51,12.29,85.5%,4.74,6.37,74.4%,1.04,1.33,77.8%,0.03,0.74,1.18,0.30,0.15,Pass Types,20.43,1.33,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.74,Goal and Shot Creation,1.63,1.04,0.00,0.15,0.30,0.15,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,Defense,0.15,0.15,0.00,0.00,0.15,0.00,0.44,0.0%,0.44,0.74,0.00,0.00,0.15,0.30,0.00,Possession,31.68,0.44,1.63,16.13,14.21,4.00,31.68,2.07,1.33,64.3%,0.74,35.7%,17.02,87.78,28.87,0.44,0.30,1.92,2.07,24.42,Miscellaneous Stats,0.00,1.63,1.48,0.15,0.00,0.00,0.00,2.52,2.96,4.74,38.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Antonini Lui,BRA,DF,27,Catanzaro,Serie B (ITA),0.12,0.00,0.12,0.12,0.00,0.00,0.29,0.00,0.08,0.08,0.01,0.09,0.33,2.10,0.16,Shooting,Per 90,0.66,0.21,31.3%,0.19,0.60,9.00,0.00,0.12,+0.04,+0.04,Passing,52.96,58.48,90.6%,864.98,300.95,22.47,23.79,94.5%,27.12,29.05,93.3%,1.81,3.13,57.9%,0.02,0.16,1.36,0.04,0.00,Pass Types,53.83,4.65,2.80,0.04,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.41,Goal and Shot Creation,0.58,0.45,0.00,0.04,0.08,0.00,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.00,Defense,1.07,0.70,0.66,0.41,0.00,0.58,0.70,82.4%,0.12,1.36,0.95,1.23,2.30,6.01,0.16,Possession,70.41,11.65,42.10,26.79,1.73,1.23,70.41,0.29,0.12,42.9%,0.12,42.9%,37.61,199.26,96.83,0.08,0.00,0.41,0.04,44.32,Miscellaneous Stats,0.00,1.44,0.41,0.00,0.00,0.04,0.00,2.30,4.20,1.56,72.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirko Antonucci,ITA,"MF,DF",26,Bari,Serie B (ITA),0.26,0.13,0.40,0.26,0.00,0.00,0.20,0.00,0.15,0.15,0.06,0.21,1.91,2.84,5.22,Shooting,Per 90,1.39,0.79,57.1%,0.19,0.33,14.50,0.00,0.11,+0.11,+0.11,Passing,21.72,30.97,70.1%,286.84,71.12,13.67,16.18,84.5%,6.27,9.38,66.9%,0.53,1.19,44.4%,0.04,0.73,1.19,1.06,0.13,Pass Types,29.85,1.06,0.07,0.00,0.00,2.18,0.92,0.00,0.00,0.00,0.00,0.07,0.73,Goal and Shot Creation,1.91,1.45,0.00,0.20,0.13,0.13,0.00,0.26,0.20,0.00,0.07,0.00,0.00,0.00,Defense,1.32,0.66,0.73,0.46,0.13,0.73,1.91,37.9%,1.19,0.73,0.00,0.46,1.78,1.12,0.07,Possession,40.21,0.46,7.66,16.90,16.31,3.37,40.21,2.11,0.86,40.6%,1.12,53.1%,21.06,128.03,60.88,1.25,0.53,1.52,0.20,28.20,Miscellaneous Stats,0.00,1.19,1.65,0.07,0.00,0.00,0.00,2.31,0.20,0.73,21.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
